filter,lambda_eff,W_eff,VEGA_erg
FUV	, 1549.0, 265.6, 6.491E-9
NUV	, 2304.7, 768.3, 4.45E-9
u	, 3542.2 , 563.6 , 3.511E-9	
BT	, 4206.4 , 708.4 , 6.598E-9
B 	, 4297.2 , 843.1 , 6.491E-9
g 	, 4640.4 , 1158.4 , 5.521E-9
BP	, 5020.9  , 2279.5 , 4.035E-9
VT  	, 5243.9 , 1005.7 , 3.984E-9
V 	, 5394.3 , 870.6 , 3.734E-9
r 	, 6122.3 , 1111.2 , 2.529E-9
G 	, 5836.3 , 4358.4 , 2.495E-9
i 	, 7439.5 , 1044.6 , 1.409E-9
RP 	, 7588.8 , 2943.7 , 1.294E-9
J  	, 12285.4 , 1624.2 , 3.14E-10
H  	, 16386.1 , 2509.4 , 1.14E-10
Ks  	, 21521.6 , 2618.9 , 4.31E-11
W1	, 33156.6 , 6626.4 , 8.24E-12
W2	, 45644.9 , 10422.7 , 2.43E-12
W3	, 107868.4 , 55055.7 , 6.57E-14
W4	, 219149.6 , 41016.8 , 5.00E-15