PM,Vmag,Jmag,NUV-Ks,FNUV,FFUV,FX,EWHa,logR,fp.AO,fp.Ha,fp.Sa,fp.SW,fp,LSPM,GALEX,1RXS,L13,2M,Simbad,_RA,_DE
I14025+4620N,10.11,6.26,12.54,235.45,28.88,4.9E-13,-0.33,-6.36,No,No,,No,N,1,1,1,1,2M,Simbad,210.637543,46.340931
I14025+4620S,9.86,6.27,12.58,235.45,28.88,4.9E-13,-0.2,-6.49,,No,,No,N,1,1,1,1,2M,Simbad,210.638077,46.339897
I14027-2431,12.72,8.63,13.22,13.69,8.22,9.3E-13,0.21,-6.62,,No,,No,N,0,1,1,0,2M,Simbad,210.694611,-24.530628
I14072-6342,13.55,9.89,12.22,11.19,,,,-6.23,,,,,N,0,0,0,0,2M,Simbad,211.812271,-63.709236
I14102+3115,13.86,9.96,11.4,24.5,,,0.96,-7.48,,No,Yes,No,D,0,0,0,0,2M,Simbad,212.564423,31.260155
I14128-1629,13.36,9.51,11.37,36.39,13.23,5.3E-13,,-5.87,,,,,N,0,1,1,0,2M,Simbad,213.202637,-16.49896
I14138+2447,13.24,9.24,12.97,9.78,,,,-6.51,,,,No,N,1,0,0,0,2M,Simbad,213.471115,24.797594
I14143-1521,10.23,7.43,10.53,511.57,101.48,5.7E-12,0.9,-7.48,No,No,Yes,,D,0,1,1,0,2M,Simbad,213.589035,-15.356018
I14150+4248,12.22,9.74,10.22,74.81,12.23,4.3E-13,,-7.48,No,,,Yes,D,0,1,1,0,2M,Simbad,213.761978,42.81147
I14159-1102,12.35,9.0,11.59,48.36,,3.3E-13,1.28,-6.03,No,No,No,,N,0,1,1,0,2M,Simbad,213.975739,-11.045718
I14165-0725,13.76,9.81,10.27,74.95,13.28,1.1E-12,2.79,-7.48,,Yes,No,,D,0,1,1,0,2M,Simbad,214.138702,-7.427291
I14171+5000,13.21,9.59,10.8,53.37,12.06,6.1E-13,2.21,-5.57,,No,No,,N,0,1,1,0,2M,Simbad,214.284897,50.002266
I14175+0233,13.05,9.27,12.46,16.48,7.76,3.8E-13,1.19,-6.36,,No,No,,N,0,0,1,0,2M,Simbad,214.37587,2.562106
I14176-1958,13.01,9.89,11.3,26.45,,,,-5.88,,,,,N,0,1,0,0,2M,Simbad,214.413223,-19.980856
I14197+1244,13.1,9.58,11.99,18.97,,,1.31,-6.17,,No,No,,N,0,1,0,0,2M,Simbad,214.94104,12.741653
I14219+2516,13.06,9.73,11.9,16.92,,,,-6.12,,,,,N,0,1,0,0,2M,Simbad,215.475342,25.270098
I14254+6541N,13.25,9.25,13.25,8.2,,,,-6.72,,,,,N,1,1,0,0,2M,Simbad,216.369263,65.697701
I14259+1412,11.36,8.15,10.13,393.95,87.35,3.7E-12,3.01,-7.48,,No,No,,L,0,0,1,1,2M,Simbad,216.483063,14.202836
I14261+3827,13.39,9.93,11.82,15.67,5.89,,-0.47,-6.08,No,No,,No,N,1,1,0,0,2M,Simbad,216.52771,38.459343
I14276+2233,12.64,9.8,11.3,27.99,,,0.46,-5.94,,No,No,No,N,0,1,0,0,2M,Simbad,216.921448,22.564173
I14332-2212,13.85,9.68,12.93,7.4,,,,-6.53,,,,No,N,0,0,0,0,2M,Simbad,218.300888,-22.208494
I14335-1100W,13.66,9.72,11.4,27.92,,7.5E-13,,-5.83,,,,,N,0,1,1,0,2M,Simbad,218.376846,-11.005669
I14360-2212,12.69,9.38,11.97,23.72,,,,-6.22,,,,No,N,0,0,0,0,2M,Simbad,219.024323,-22.200294
I14368+5820,12.14,8.08,12.09,60.72,18.13,8.2E-13,1.49,-7.48,,No,,,L,1,0,1,1,2M,Simbad,219.220795,58.348679
I14374+4128,13.66,9.95,11.35,23.55,8.88,5.3E-13,4.44,-5.82,,No,No,No,N,0,1,1,0,2M,Simbad,219.372772,41.476402
I14386-0257,14.0,9.86,11.86,15.93,,2.7E-13,2.42,-6.01,,No,No,,N,0,1,1,0,2M,Simbad,219.663971,-2.956618
I14403-2752,13.62,9.57,13.26,5.7,,,,-6.67,,,,No,N,0,0,0,0,2M,Simbad,220.092209,-27.87841
I14419-1653,13.34,9.35,10.92,61.4,54.66,,-0.23,-7.48,,Yes,,,D,0,1,0,0,2M,Simbad,220.496216,-16.887001
I14436-0414,13.05,9.51,10.7,69.65,17.23,3.3E-13,2.67,-5.61,,No,No,,N,0,1,1,0,2M,Simbad,220.908493,-4.243192
I14444-0424W,13.78,9.73,10.34,75.81,19.25,4.7E-13,,-5.41,,,,,N,0,0,1,0,2M,Simbad,221.117111,-4.402205
I14511+3106,12.5,8.41,11.35,98.56,31.98,9.7E-13,3.92,-5.81,,No,,No,N,1,1,1,1,2M,Simbad,222.79332,31.111185
I14517-0530S,13.28,9.74,11.52,25.37,,1.7E-13,,-5.94,,,,,N,0,1,1,0,2M,Simbad,222.937378,-5.511312
I14519-2206,13.25,9.77,11.79,18.86,,,,-6.06,,,,No,N,0,1,0,0,2M,Simbad,222.983978,-22.11121
I14544+1606,10.11,6.63,12.0,284.36,55.16,3.0E-12,0.79,-7.48,No,No,,,L,1,1,1,1,2M,Simbad,223.62178,16.101078
I14556-0527,13.66,9.91,11.76,17.78,,,0.48,-6.05,,No,,,N,0,1,0,0,2M,Simbad,223.920395,-5.464248
I14568+1245,13.88,9.77,12.65,8.16,,,,-6.35,No,,,,N,1,1,0,0,2M,Simbad,224.209229,12.75168
I15016-5903,13.23,9.86,11.85,16.35,,,,-6.12,,,,,N,0,0,0,0,2M,Simbad,225.422195,-59.051395
I15050+2438,13.51,9.68,12.4,11.5,,3.4E-13,0.46,-6.29,,No,,No,N,0,1,1,0,2M,Simbad,226.254227,24.644232
I15063+6210,12.41,9.84,10.58,53.49,9.87,1.3E-13,,-5.61,,,,,N,0,1,1,0,2M,Simbad,226.578674,62.170685
I15063+0915N,13.57,9.99,12.0,12.48,,,,-6.14,,,,,N,0,1,0,0,2M,Simbad,226.588669,9.263077
I15073+4333,13.73,9.6,12.8,8.51,,7.4E-13,0.93,-7.48,,No,Yes,,D,0,0,1,0,2M,Simbad,226.849304,43.564762
I15086-1839,13.76,9.79,11.23,30.43,,,,-5.76,,,,,N,0,1,0,0,2M,Simbad,227.164566,-18.651495
I15088+4934S,12.76,9.15,11.04,67.46,20.17,1.0E-12,,-5.72,,,,,N,0,1,1,0,2M,Simbad,227.222168,49.568401
I15099-0226,13.73,9.8,11.34,28.61,14.5,8.1E-13,,-5.85,,,,,N,0,1,1,0,2M,Simbad,227.491638,-2.434041
I15104+1328,13.81,9.75,11.74,19.44,8.9,,3.25,-5.96,,No,No,,N,0,1,0,0,2M,Simbad,227.612701,13.467104
I15110+2712,13.13,9.53,12.56,11.32,,,,-6.42,,,,No,N,1,1,0,0,2M,Simbad,227.770096,27.212421
I15137+0754,12.81,9.21,11.05,63.98,9.51,5.5E-13,,-5.74,,,,,N,0,1,1,0,2M,Simbad,228.433701,7.903454
I15165+1257,13.05,9.25,12.7,13.37,6.4,2.8E-13,,-6.48,,,,,N,1,1,1,0,2M,Simbad,229.138626,12.956716
I15171-1652,13.2,9.66,11.49,28.25,,,,-5.94,,,,,N,0,1,0,0,2M,Simbad,229.288147,-16.868504
I15173-2759,11.08,8.23,11.23,126.17,18.36,7.3E-13,-0.24,-5.89,,No,,No,N,0,1,1,0,2M,Simbad,229.338287,-27.997154
I15204-3037,11.24,8.78,10.17,203.56,29.96,,0.82,-5.42,No,No,No,No,N,0,1,1,0,2M,Simbad,230.100601,-30.625483
I15218+2058,10.02,6.61,11.18,610.48,104.76,7.0E-12,2.9,-5.79,No,No,,No,N,1,1,1,1,2M,Simbad,230.470535,20.977737
I15236+3837,13.12,9.61,11.25,35.15,10.31,,1.44,-7.48,,No,Yes,No,D,0,0,0,0,2M,Simbad,230.902496,38.630257
I15238+5329,12.95,9.33,12.27,18.68,5.96,1.2E-13,,-6.31,,,,,N,1,1,1,0,2M,Simbad,230.953781,53.499744
I15238+5609,11.68,8.79,10.62,134.82,15.5,1.4E-12,2.78,-5.59,,No,,,N,0,1,1,1,2M,Simbad,230.974426,56.158894
I15311+3920,13.64,9.8,12.98,5.93,,,,-6.59,,,,No,N,1,1,0,0,2M,Simbad,232.791336,39.342438
I15316-2654,13.54,9.62,12.67,9.88,,,,-6.44,,,,,N,0,1,0,0,2M,Simbad,232.909439,-26.902006
I15354+6005,13.4,9.27,8.94,414.27,97.18,1.7E-12,5.7,-4.85,No,No,No,,N,1,1,1,0,2M,Simbad,233.856995,60.085445
I15360-1929W,13.76,9.9,11.83,15.43,,,3.0,-6.01,,No,No,,N,0,0,0,0,2M,Simbad,234.0121,-19.48443
I15413+1124,13.06,9.99,11.08,28.94,,,,-5.77,,,,,N,0,1,0,0,2M,Simbad,235.346085,11.406693
I15416+1828,12.39,8.96,11.31,64.93,8.89,1.1E-12,1.52,-5.88,,No,No,,N,0,1,1,1,2M,Simbad,235.405212,18.468983
I15437+4450,13.36,9.86,11.05,34.44,4.56,,,-5.72,,,No,,N,0,0,0,0,2M,Simbad,235.927979,44.847717
I15453+7514,13.05,9.72,12.12,14.29,,1.1E-13,,-6.26,,,,,N,0,1,1,0,2M,Simbad,236.348099,75.248558
I15455+7321,13.74,9.78,12.66,8.56,,,,-6.43,,,,,N,1,0,0,0,2M,Simbad,236.384399,73.361008
I15469-1931,13.25,9.35,10.95,62.01,,4.7E-13,3.32,-5.68,,No,,,N,0,0,1,0,2M,Simbad,236.736237,-19.525539
I15510+2000,13.16,9.44,10.47,85.52,9.18,2.9E-13,1.97,-5.46,,No,No,No,N,0,1,1,0,2M,Simbad,237.750031,20.010811
I15512+3040,12.64,8.97,12.59,18.48,,,0.14,-6.43,,No,,No,N,1,1,0,1,2M,Simbad,237.81189,30.67844
I15516+1840,13.01,9.8,11.15,34.57,4.06,,1.11,-5.84,,No,No,,N,0,0,0,0,2M,Simbad,237.91304,18.673208
I15545-1310,12.89,9.12,12.04,27.41,,,1.54,-6.14,,No,,,N,0,1,0,0,2M,Simbad,238.630112,-13.172159
I15550-0305,12.51,9.81,10.78,40.08,,,-1.59,-5.57,,No,,,N,0,0,0,0,2M,Simbad,238.771042,-3.096993
I15557-1020,13.62,9.39,10.55,85.47,28.22,7.7E-13,4.6,-5.5,,No,,,N,0,1,1,0,2M,Simbad,238.926453,-10.333774
I15557+6840,11.97,8.59,11.17,98.32,10.66,1.6E-12,1.79,-5.78,,No,,,N,0,1,1,1,2M,Simbad,238.946854,68.67054
I15569+3738,13.19,9.42,10.95,56.41,14.51,9.0E-13,2.16,-5.66,,No,No,No,N,0,1,1,0,2M,Simbad,239.242599,37.637173
I15579+6010,11.14,8.76,10.45,158.6,16.93,1.1E-12,0.68,-5.58,,No,,,N,0,1,1,1,2M,Simbad,239.47905,60.173985
I15581+4927,11.95,8.73,10.9,112.36,21.35,1.7E-12,3.5,-5.69,,No,,,N,1,1,1,1,2M,Simbad,239.542923,49.452335
I15583+3524,12.68,8.69,13.04,15.7,15.08,,0.04,-6.58,,No,,No,N,1,0,0,1,2M,Simbad,239.578369,35.406731
I15587+2351E,13.43,9.82,10.93,38.98,20.67,,5.95,-5.65,,No,No,No,N,0,1,0,0,2M,Simbad,239.687943,23.855162
I15597+4403,11.83,8.51,10.99,130.06,26.81,1.5E-12,2.69,-5.74,,No,,,N,0,1,1,1,2M,Simbad,239.947067,44.066536
I16002-0230,12.55,9.28,11.93,26.25,,,0.63,-6.19,,No,,,N,0,1,0,0,2M,Simbad,240.05011,-2.516518
I16022+4029,13.56,9.96,11.58,18.51,,,2.06,-5.91,,No,No,No,N,0,1,0,0,2M,Simbad,240.572845,40.496685
I16060+3316,13.01,9.71,12.04,15.14,,,,-6.2,,,,No,N,1,1,0,0,2M,Simbad,241.5065,33.269836
I16148+6038,13.71,9.82,11.84,16.34,,,0.26,-6.0,,No,,,N,1,0,0,0,2M,Simbad,243.720718,60.641151
I16159+3852,11.91,9.0,11.06,73.92,6.94,7.2E-13,0.11,-5.8,,No,,No,N,0,1,1,1,2M,Simbad,243.997543,38.869473
I16170+5516,9.95,6.6,10.7,945.33,131.34,7.0E-12,2.12,-7.48,,No,,No,L,1,1,1,1,2M,Simbad,244.272446,55.269245
I16180+0617,12.76,8.95,12.56,19.24,3.99,2.5E-13,1.26,-6.37,,No,No,,N,0,1,1,1,2M,Simbad,244.520538,6.286391
I16186+3127,13.15,9.92,11.74,17.16,,2.8E-13,,-6.09,,,,,N,0,1,1,0,2M,Simbad,244.658737,31.455166
I16196+7655,12.6,9.36,10.46,94.02,29.63,8.3E-13,2.76,-5.48,,No,,,N,0,1,1,0,2M,Simbad,244.911331,76.921257
I16210-1405,13.62,9.74,12.42,10.23,,,,-6.26,,,,,N,0,1,0,0,2M,Simbad,245.265823,-14.0983
I16220+2250,12.43,8.9,10.78,102.28,23.55,1.7E-12,1.81,-5.57,,No,No,No,N,0,1,1,1,2M,Simbad,245.504929,22.839382
I16243+7754,13.75,9.87,11.0,36.7,13.97,6.0E-13,,-5.71,,,,,N,1,1,1,0,2M,Simbad,246.077194,77.902428
I16243+1959W,13.29,9.32,11.16,50.94,15.71,1.2E-12,4.32,-5.74,,No,,,N,0,1,1,0,2M,Simbad,246.09465,19.989622
I16250-1215,12.92,9.19,12.62,15.61,,,,-6.48,,,,,N,0,0,0,0,2M,Simbad,246.25618,-12.257148
I16255+2601,12.54,8.4,13.24,17.77,,,0.08,-6.68,,No,,No,N,1,1,0,1,2M,Simbad,246.38475,26.027256
I16258-1359,12.53,9.86,10.72,42.5,,,-0.99,-5.6,,No,,,N,0,0,0,0,2M,Simbad,246.452942,-13.98661
I16276+3541,13.71,9.6,11.34,33.68,7.42,7.1E-13,3.76,-5.82,,No,No,No,N,0,1,1,0,2M,Simbad,246.90654,35.695263
I16327+1958,13.37,9.9,11.75,17.23,,,1.56,-6.04,,No,No,,N,1,1,0,0,2M,Simbad,248.195877,19.975208
I16352+3547,13.97,9.89,13.3,4.47,,,,-6.75,,,,No,N,1,1,0,0,2M,Simbad,248.808304,35.789104
I16363+1000,12.82,9.79,11.39,25.93,10.81,,,-5.92,,,,,N,1,1,0,0,2M,Simbad,249.08725,10.002104
I16366-2038,12.63,9.82,11.12,33.18,,,,-5.86,,,,,N,0,1,0,0,2M,Simbad,249.167587,-20.641373
I16412+5344,12.28,9.32,11.31,43.31,11.82,2.5E-13,1.32,-5.91,,No,,No,N,0,0,1,0,2M,Simbad,250.314346,53.73642
I16430-1754,12.57,9.44,10.68,73.64,,8.0E-13,,-5.62,,,,,N,0,1,1,0,2M,Simbad,250.755356,-17.907663
I16439-2508,11.2,8.28,10.96,161.18,,2.9E-12,2.15,-5.76,No,No,No,,N,0,0,1,0,2M,Simbad,250.987122,-25.143534
I16439-7530,11.76,8.43,8.83,995.37,231.38,1.9E-12,1.88,-7.48,,Yes,,,D,0,1,1,0,2M,Simbad,250.990479,-75.505844
I16458+0343,12.48,9.27,11.22,49.96,8.22,5.6E-13,1.38,-7.48,,No,No,,L,0,0,1,0,2M,Simbad,251.460922,3.717083
I16475+2519We,12.33,9.42,10.6,77.82,17.59,7.0E-13,,-5.58,,,,No,N,0,1,1,0,2M,Simbad,251.884354,25.327225
I16481-2023,13.09,9.99,11.66,17.19,,,,-6.08,,,,,N,0,0,0,0,2M,Simbad,252.04834,-20.399265
I16521+2021,12.75,9.45,11.19,43.24,14.7,5.5E-13,1.16,-5.79,,No,No,No,N,1,1,1,0,2M,Simbad,253.049683,20.362637
I16529+4005,13.39,9.39,13.06,8.52,,,,-6.62,,,,No,N,1,1,0,0,2M,Simbad,253.229172,40.08567
I16547+4232,13.45,9.9,11.02,34.42,7.3,4.9E-13,,-5.72,,,,No,N,0,1,1,0,2M,Simbad,253.687683,42.540943
I16597+3657,13.51,9.72,10.88,46.09,,7.5E-13,3.62,-5.64,,No,,No,N,0,1,1,0,2M,Simbad,254.948517,36.964863
I17019-4049,13.13,9.48,12.51,12.77,,,,-6.41,,,,,N,0,0,0,0,2M,Simbad,255.487595,-40.827179
I17022+5103,12.46,9.35,11.34,42.1,6.52,4.9E-13,1.51,-5.91,,No,,,N,0,1,1,0,2M,Simbad,255.550156,51.05793
I17033-4109,10.34,7.33,11.22,268.89,,,-1.46,-5.76,,No,,,N,0,0,0,0,2M,Simbad,255.828354,-41.164036
I17038+3211,12.05,7.89,11.69,112.77,24.06,1.4E-12,2.33,-7.48,Yes,No,,,D,1,1,1,1,2M,Simbad,255.970154,32.196053
I17076+4918,13.69,9.99,12.25,9.77,,,,-6.23,,,,,N,1,1,0,0,2M,Simbad,256.918121,49.309849
I17081+4829,13.86,9.74,11.55,23.09,8.89,2.1E-13,2.88,-5.86,,No,,No,N,0,1,1,0,2M,Simbad,257.029572,48.490826
I17106-5206,12.8,9.06,12.82,14.58,,,,-6.59,,,,,N,0,0,0,0,2M,Simbad,257.673187,-52.111275
I17130+7356,13.71,9.95,11.02,31.23,7.11,3.7E-13,,-5.65,,,,,N,0,0,1,0,2M,Simbad,258.253235,73.934753
I17131-1834,10.46,7.31,11.2,308.97,63.99,3.9E-12,0.05,-5.82,,No,,,N,0,1,1,0,2M,Simbad,258.298157,-18.573547
I17133-0005,12.29,9.65,9.61,152.94,,,-0.42,-7.48,,Yes,,,D,0,1,0,0,2M,Simbad,258.34079,-0.09395
I17149-0533,12.62,9.83,10.65,46.55,,,-1.45,-5.54,,No,,,N,0,1,0,0,2M,Simbad,258.738312,-5.557122
I17154+1328,13.12,9.67,12.02,16.41,,,1.24,-6.18,,No,No,,N,0,1,0,0,2M,Simbad,258.854675,13.476192
I17183+1808,13.07,9.05,13.03,11.34,,1.6E-13,,-6.56,,,,,N,1,1,1,0,2M,Simbad,259.593506,18.149
I17199+2630W,11.26,7.27,12.41,106.64,28.09,4.4E-12,12.28,-6.29,,No,,No,N,1,1,1,1,2M,Simbad,259.975861,26.500799
I17219+1811,13.31,9.78,12.45,10.31,,,,-6.42,,,,,N,0,1,0,0,2M,Simbad,260.492096,18.198729
I17246+6147,13.61,9.45,12.58,12.15,,2.2E-13,,-6.33,,,,,N,1,1,1,0,2M,Simbad,261.166443,61.797451
I17251-0633,12.47,9.26,11.05,59.05,8.62,9.6E-13,1.08,-5.74,,No,No,,N,0,0,1,0,2M,Simbad,261.289185,-6.564906
I17304+3344,13.51,9.46,12.18,18.11,,8.8E-14,1.63,-6.2,No,No,,,N,1,1,1,0,2M,Simbad,262.611298,33.747921
I17321+5024N,12.88,9.01,13.03,11.95,,,,-6.62,,,,,N,1,0,0,0,2M,Simbad,263.032623,50.413929
I17348+7844,12.81,9.49,10.68,69.32,12.33,8.0E-13,2.89,-5.59,,No,,,N,0,1,1,0,2M,Simbad,263.715546,78.738533
I17349+3852,13.13,9.61,7.68,967.86,200.58,,,-4.33,,,,,N,0,1,0,0,2M,Simbad,263.746918,38.87883
I17369+4859,13.23,9.54,11.31,38.6,10.97,7.1E-13,,-5.87,,,,,N,0,1,1,0,2M,Simbad,264.246918,48.996113
I17380+3329,11.54,8.52,11.63,67.07,7.79,3.7E-13,-0.13,-7.48,,No,Yes,No,D,0,1,1,1,2M,Simbad,264.503174,33.496223
I17385-5832,12.46,8.48,12.06,46.52,12.8,2.8E-12,3.22,-6.1,,No,,,N,0,0,1,0,2M,Simbad,264.635468,-58.542881
I17395+5650,13.51,9.94,11.85,14.92,,1.9E-13,,-6.06,,,,No,N,0,1,1,0,2M,Simbad,264.890259,56.837326
I17518+0714,13.57,9.46,10.42,87.86,20.68,8.4E-13,3.12,-5.43,,No,No,,N,0,1,1,0,2M,Simbad,267.959351,7.246468
I17520-2357,12.7,9.28,11.38,45.87,,2.5E-13,,-7.48,,,,,"N,R",0,0,1,0,2M,Simbad,268.007233,-23.965908
I17520+5636,13.32,9.23,11.21,53.2,10.79,5.6E-13,,-5.76,,,,No,N,0,1,1,0,2M,Simbad,268.012268,56.607719
I17530+1655,12.78,8.7,11.52,63.46,,,-0.06,-7.48,,Yes,,,D,1,0,0,1,2M,Simbad,268.252594,16.917488
I17541-7514,11.82,8.68,6.02,9346.07,,,-1.55,-7.48,,Yes,,,D,0,0,0,0,2M,Simbad,268.525116,-75.236198
I17545+3653,11.87,8.88,11.43,56.78,,3.2E-13,0.33,-5.94,No,No,,,N,0,1,1,1,2M,Simbad,268.640472,36.89843
I17566-4444,12.28,8.98,11.48,50.37,,,0.86,-5.93,,No,,,N,0,0,0,0,2M,Simbad,269.158356,-44.735519
I18043-8007,13.4,9.86,12.42,9.65,,,,-6.38,,,,,N,0,0,0,0,2M,Simbad,271.089874,-80.120377
I18067+6822,13.21,9.69,11.67,22.69,8.91,1.8E-13,,-5.99,,,,,N,0,1,1,0,2M,Simbad,271.682007,68.367569
I18133+0751,13.25,9.36,12.02,22.45,,2.5E-13,1.5,-6.12,,No,No,,N,0,0,1,0,2M,Simbad,273.334534,7.864905
I18135+0532,13.8,9.7,13.06,6.33,,,-0.19,-6.6,,No,,,N,1,0,0,0,2M,Simbad,273.388153,5.536662
I18205+1927,12.71,9.57,11.82,22.46,,,,-6.17,,,,,N,0,0,0,0,2M,Simbad,275.149261,19.465466
I18292-1543,13.2,9.82,11.72,19.68,,,,-6.07,,,,,N,0,0,0,0,2M,Simbad,277.31546,-15.730864
I18317-7652,13.23,9.45,12.5,12.98,,,,-6.35,,,,,N,0,0,0,0,2M,Simbad,277.92746,-76.88002
I18353-3123W,12.45,8.65,10.86,123.87,,4.4E-12,7.98,-5.63,,No,No,,N,0,0,1,0,2M,Simbad,278.839752,-31.393934
I18363+1336S,12.32,8.19,12.26,51.19,,6.7E-13,0.76,-6.18,,No,,,N,1,1,1,1,2M,Simbad,279.080139,13.607338
I18396+1623,12.4,9.35,10.61,81.09,14.66,7.3E-13,1.36,-7.48,,No,,,L,0,1,1,0,2M,Simbad,279.909973,16.387083
I18399+3324,13.33,9.13,12.17,24.46,,,,-6.17,,,,,N,1,0,0,0,2M,Simbad,279.999634,33.415092
I18441+4814,13.92,9.86,13.31,4.37,,2.2E-13,,-6.73,,,,No,N,0,0,1,0,2M,Simbad,281.047485,48.236691
I18458+5047,13.63,9.91,11.25,26.48,10.0,2.9E-13,3.82,-5.77,,No,,No,N,0,0,1,0,2M,Simbad,281.464417,50.798813
I18498-2350,10.37,6.22,12.49,261.2,71.54,5.7E-12,1.52,-6.31,,No,No,,N,0,1,1,0,2M,Simbad,282.455566,-23.836205
I18507-3147,11.19,8.31,10.58,219.94,,2.3E-12,1.38,-5.57,No,No,No,,"N,Y",0,0,1,0,2M,Simbad,282.685333,-31.796501
I19034+4832,13.06,9.64,12.08,16.49,,,,-6.24,,,,No,N,0,1,0,0,2M,Simbad,285.873566,48.547798
I19053-5434,13.3,9.41,11.41,37.81,,,2.79,-5.87,,No,,,N,0,1,0,0,2M,Simbad,286.334625,-54.578552
I19062+1741,12.81,9.57,10.95,49.18,16.9,6.1E-13,2.27,-5.7,,No,No,,N,0,0,1,0,2M,Simbad,286.56308,17.697052
I19163+1539,12.76,9.85,10.57,53.38,,,-0.39,-5.55,,No,,,N,0,0,0,0,2M,Simbad,289.098175,15.662133
I19241-0931,13.96,9.83,12.47,10.06,,,1.04,-6.34,,No,No,,N,0,1,0,0,2M,Simbad,291.045593,-9.526146
