Star,HIP,[Fe/H],e_[Fe/H],Teff,e_Teff,l_Rad,Rad,e_Rad,l_Lum,Lum,e_Lum,l_Mass,Mass,e_Mass,STeff,SimbadName,_RA,_DE
*VBS 18,54211,-0.32,0.08,3743,84,,0.51,0.05,,0.0438,0.0098,,0.54,0.07,Visible,HIP 54211,166.36907,43.52678
36 UMa B,,-0.08,0.08,4132,105,,0.62,0.05,,0.1022,0.0208,,0.66,0.07,Visible,36 UMa B,157.60545,55.99913
AD Leo,,0.16,0.08,3477,112,,0.37,0.08,,0.0187,0.0087,,0.38,0.1,Visible,AD Leo,154.90117,19.87004
AN Sex,49986,0.11,0.08,3746,89,,0.51,0.05,,0.0442,0.0105,,0.54,0.07,Visible,AN Sex,153.07362,-3.74567
BD+05 1668,36208,-0.11,0.08,3467,62,,0.36,0.05,,0.0179,0.0049,,0.37,0.06,Visible,BD+05 1668,111.85208,5.22579
BD+13 2618,63510,0.25,0.08,3600,73,,0.44,0.05,,0.029,0.007,,0.46,0.06," K-band",BD+13 2618,195.1941,12.37573
BD+61 195,4872,0.15,0.08,3834,73,,0.54,0.04,,0.0549,0.0099,,0.58,0.07," K-band",BD+61 195,15.66195,62.34505
BPM 46239,1734,0.27,0.08,3694,82,,0.49,0.05,,0.0384,0.009,,0.52,0.07,Visible,BPM 46239,5.48352,-31.40607
BR Psc,117473,-0.47,0.08,3552,73,,0.42,0.05,,0.0248,0.0065,,0.43,0.07," K-band",BR Psc,357.3022,2.40122
BX Cet,,-0.11,0.08,3393,64,,0.31,0.05,,0.0127,0.0045,,0.3,0.07,Visible,BX Cet,39.06399,6.87198
Barnard's star,,-0.32,0.08,3247,61,,0.19,0.06,,0.0038,0.0034,,0.15,0.08,Visible,Barnard's star,269.45207,4.69339
CE Boo,7408,-0.08,0.09,3533,73,,0.4,0.05,,0.0232,0.0063,,0.42,0.07," K-band",CE Boo,223.62182,16.10106
CN Leo,,,,2960,61,<,0.19,,<,0.0033,,<,0.14,,Visible,CN Leo,164.12027,7.01466
EE Leo,53020,0.2,0.08,3400,63,,0.32,0.05,,0.0131,0.0044,,0.31,0.06,Visible,EE Leo,162.7168,6.80812
EV Lac,112460,-0.03,0.09,3280,73,,0.22,0.06,,0.0056,0.0042,,0.19,0.08," K-band",EV Lac,341.70722,44.33399
EW Dra,14226,0.1,0.08,3516,73,,0.39,0.05,,0.0218,0.0061,,0.4,0.07," K-band",EW Dra,244.18881,67.25625
FI Vir,57548,-0.02,0.08,3277,73,,0.22,0.07,,0.0054,0.0042,,0.18,0.08," K-band",FI Vir,176.93502,0.80457
G 113-20,40501,-0.1,0.08,3501,73,,0.38,0.05,,0.0205,0.006,,0.39,0.07," K-band",G 113-20,124.03326,1.30257
G 14-6,62687,0.26,0.08,4003,105,,0.59,0.05,,0.0795,0.0176,,0.63,0.07,Visible,G 14-6,192.68152,-0.76812
G 173-53,11048,0.14,0.08,4058,73,,0.61,0.04,,0.0888,0.0135,,0.65,0.07," K-band",G 173-53,35.56101,47.88003
G 202-48,14923,-0.36,0.08,3494,73,,0.38,0.05,,0.02,0.0059,,0.39,0.07," K-band",G 202-48,246.3526,54.3041
G 205-28,,0.05,0.08,3421,73,,0.33,0.05,,0.0146,0.0053,,0.33,0.07," K-band",G 205-28,277.99325,40.68641
G 206-40,26163,-0.16,0.08,3456,73,,0.36,0.05,,0.0171,0.0056,,0.36,0.07," K-band",G 206-40,280.49598,31.83049
G 207-19,,-0.06,0.09,3388,73,,0.31,0.06,,0.0123,0.005,,0.3,0.07," K-band",G 207-19,287.12483,32.28111
G 217-7,115562,0.24,0.08,3737,73,,0.5,0.04,,0.0431,0.0086,,0.54,0.06," K-band",G 217-7,351.12714,57.85431
G 244-47,,0.18,0.08,3537,73,,0.41,0.05,,0.0235,0.0063,,0.42,0.07," K-band",G 244-47,30.39728,63.77001
G 58-45,54459,-0.41,0.1,4777,74,,0.79,0.06,,0.2819,0.0314,,0.77,0.11," K-band",G 58-45,167.13235,15.76762
G 83-37,22627,0.2,0.09,3466,67,,0.36,0.05,,0.0179,0.0052,,0.37,0.06,Visible,G 83-37,73.02388,6.47657
G 85-52,24284,-0.09,0.09,3652,79,,0.47,0.05,,0.0341,0.0082,,0.49,0.07,Visible,G 85-52,78.17594,19.66566
G 97-54,,0.02,0.08,3418,63,,0.33,0.05,,0.0144,0.0045,,0.32,0.06,Visible,G 97-54,83.71717,13.87978
GJ 1148,57050,-0.04,0.08,3350,84,,0.28,0.07,,0.0098,0.0054,,0.26,0.09,Visible,GJ 1148,175.43597,42.75197
GJ 1245 B,,-0.01,0.09,3323,73,,0.26,0.06,,0.0081,0.0045,,0.23,0.08," K-band",GJ 1245 B,298.48019,44.41462
GJ 2,428,-0.01,0.08,3781,73,,0.52,0.04,,0.0482,0.0091,,0.56,0.07," K-band",GJ 2,1.29537,45.78657
GJ 310,42220,-0.06,0.08,3856,66,,0.55,0.04,,0.0577,0.0093,,0.59,0.07,Visible,GJ 310,129.10606,67.29511
GJ 3708 A,59406,,,3500,83,,0.38,0.06,,0.0204,0.0068,,0.39,0.07,Visible,GJ 3708 A,182.79899,-19.96057
GJ 3709 B,,,,3357,68,,0.29,0.06,,0.0103,0.0045,,0.27,0.07,Visible,GJ 3709 B,182.8206,-19.97271
GJ 4063,,0.42,0.08,3320,73,,0.26,0.06,,0.008,0.0045,,0.23,0.08," K-band",GJ 4063,278.65269,40.124
GJ 436,57087,0.0,0.08,3606,72,,0.44,0.05,,0.0296,0.007,,0.47,0.06,Visible,GJ 436,175.54622,26.70657
GJ 553.1,5439,,,3424,94,,0.34,0.07,,0.0148,0.0068,,0.33,0.09,Visible,GJ 553.1,217.75485,-12.2961
GJ 623,14810,-0.44,0.08,3407,73,,0.32,0.06,,0.0136,0.0051,,0.32,0.07," K-band",GJ 623,246.03885,48.35291
GJ 649,17507,0.0,0.08,3733,102,,0.5,0.05,,0.0427,0.0117,,0.54,0.07,Visible,GJ 649,254.53688,25.74416
GJ 667 C,84709,-0.3,0.08,3472,73,,0.37,0.05,,0.0183,0.0057,,0.37,0.07," K-band",GJ 667 C,259.74516,-34.99684
GJ 686,20751,-0.25,0.08,3724,73,,0.5,0.04,,0.0416,0.0084,,0.53,0.06," K-band",GJ 686,264.47228,18.59171
GJ 687,20626,-0.1,0.08,3578,83,,0.43,0.05,,0.027,0.0076,,0.45,0.07,Visible,GJ 687,264.10792,68.33914
GJ 876,113020,0.17,0.08,3471,65,,0.37,0.05,,0.0182,0.0051,,0.37,0.06,Visible,GJ 876,343.31972,-14.2637
GJ 911,117886,-0.09,0.08,3856,73,,0.55,0.04,,0.0577,0.0103,,0.59,0.07,Visible,GJ 911,358.69294,-21.77451
GQ And,,-0.2,0.08,3254,70,,0.2,0.07,,0.0041,0.0039,,0.16,0.09,Visible,GQ And,4.60624,44.02712
GX And,1475,-0.26,0.08,3693,91,,0.49,0.05,,0.0382,0.0099,,0.52,0.07,Visible,GX And,4.59536,44.02295
HD 119850,67155,-0.18,0.09,3792,92,,0.52,0.05,,0.0495,0.0115,,0.56,0.07,Visible,HD 119850,206.4324,14.89152
HD 122303,2933,,,3799,102,,0.53,0.05,,0.0504,0.0129,,0.56,0.07,Visible,HD 122303,210.26329,-2.65487
HD 147379,14219,0.19,0.08,4156,73,,0.63,0.04,,0.1069,0.0153,,0.66,0.07," K-band",HD 147379,244.17811,67.23885
HD 151288,82003,0.06,0.08,4337,73,,0.67,0.04,,0.1465,0.0191,,0.69,0.07," K-band",HD 151288,251.27646,33.50923
HD 165222,23038,-0.24,0.08,3710,101,,0.49,0.05,,0.0401,0.0112,,0.52,0.07,Visible,HD 165222,271.28158,-3.03132
HD 173739,26232,-0.28,0.08,3518,79,,0.4,0.05,,0.022,0.0066,,0.41,0.07,Visible,HD 173739,280.6945,59.63041
HD 173740,26236,-0.3,0.08,3433,69,,0.34,0.05,,0.0154,0.0051,,0.34,0.07,Visible,HD 173740,280.69569,59.62676
HD 217987,114046,-0.15,0.08,3750,100,,0.51,0.05,,0.0446,0.0118,,0.54,0.07,Visible,HD 217987,346.46682,-35.85307
HD 225213,439,-0.39,0.08,3400,73,,0.32,0.06,,0.0131,0.0051,,0.31,0.07," K-band",HD 225213,1.35178,-37.35736
HD 232979,21553,-0.09,0.08,3926,96,,0.57,0.05,,0.0675,0.0145,,0.61,0.07,Visible,HD 232979,69.42055,52.89361
HD 233153,26801,0.11,0.08,3768,96,,0.52,0.05,,0.0466,0.0116,,0.55,0.07,Visible,HD 233153,85.37803,53.4898
HD 239960,110893,-0.08,0.08,3305,73,,0.24,0.06,,0.0071,0.0044,,0.21,0.08," K-band",HD 239960,336.9978,57.6959
HD 28343,20917,0.25,0.08,4114,73,,0.62,0.04,,0.0989,0.0145,,0.66,0.07," K-band",HD 28343,67.25052,21.9227
HD 349726,28337,-0.33,0.08,3484,73,,0.37,0.05,,0.0192,0.0058,,0.38,0.07," K-band",HD 349726,286.80501,20.87701
HD 36395,25878,0.43,0.08,3895,84,,0.56,0.04,,0.0631,0.0124,,0.6,0.07,Visible,HD 36395,82.86415,-3.67723
HD 42581,29295,0.12,0.1,3796,97,,0.53,0.05,,0.05,0.0122,,0.56,0.07,Visible,HD 42581,92.64423,-21.86464
HD 50281B,,-0.04,0.08,3663,81,,0.47,0.05,,0.0352,0.0085,,0.5,0.07,Visible,HD 50281B,103.07521,-5.19006
HD 79211,120005,-0.06,0.08,3839,89,,0.54,0.05,,0.0555,0.012,,0.58,0.07,Visible,HD 79211,138.6029,52.68641
HD 95735,54035,-0.3,0.08,3679,110,,0.48,0.06,,0.0369,0.0117,,0.51,0.08,Visible,HD 95735,165.83414,35.96988
HN Lib,5717,,,3319,70,,0.26,0.06,,0.0079,0.0043,,0.23,0.08,Visible,HN Lib,218.57005,-12.51955
HO Lib,74995,-0.1,0.08,3357,73,,0.29,0.06,,0.0103,0.0047,,0.27,0.08," K-band",HO Lib,229.86176,-7.72228
LDS 6334,29225,0.11,0.08,3680,70,,0.48,0.04,,0.0369,0.0076,,0.51,0.06,Visible,LDS 6334,289.23025,5.16892
LHS 1053,1368,0.07,0.08,4335,73,,0.67,0.04,,0.1462,0.0191,,0.69,0.07," K-band",LHS 1053,4.27656,40.9483
LHS 1122,3143,0.01,0.09,3596,73,,0.44,0.05,,0.0287,0.0069,,0.46,0.06," K-band",LHS 1122,9.99511,-44.25322
LHS 119,,-0.11,0.08,3522,73,,0.4,0.05,,0.0223,0.0062,,0.41,0.07," K-band",LHS 119,9.74601,30.61624
LHS 1290,8051,-0.13,0.09,3426,73,,0.34,0.05,,0.0149,0.0053,,0.33,0.07," K-band",LHS 1290,25.83409,4.32166
LHS 14,10279,-0.36,0.08,3783,94,,0.52,0.05,,0.0485,0.0117,,0.56,0.07,Visible,LHS 14,33.08745,3.57562
LHS 1712,22762,-0.24,0.09,3653,81,,0.47,0.05,,0.0341,0.0084,,0.49,0.07,Visible,LHS 1712,73.45825,-17.77341
LHS 1731,23512,-0.12,0.08,3421,70,,0.33,0.05,,0.0145,0.0051,,0.33,0.07,Visible,LHS 1731,75.83369,-17.37354
LHS 1805,,0.03,0.08,3323,73,,0.26,0.06,,0.0082,0.0045,,0.23,0.08," K-band",LHS 1805,90.29611,59.59745
LHS 1858,31635,-0.34,0.09,3786,74,,0.52,0.04,,0.0489,0.0094,,0.56,0.07,Visible,LHS 1858,99.29499,17.56481
LHS 1879,33226,0.0,0.08,3401,73,,0.32,0.06,,0.0132,0.0051,,0.31,0.07," K-band",LHS 1879,103.704,33.26818
LHS 1920,36338,-0.01,0.08,3517,88,,0.4,0.06,,0.0218,0.0073,,0.41,0.08,Visible,LHS 1920,112.18933,-3.29815
LHS 1935,37217,-0.18,0.09,3445,74,,0.35,0.05,,0.0163,0.0055,,0.35,0.07,Visible,LHS 1935,114.67065,-21.22458
LHS 196,21932,0.14,0.08,3721,82,,0.5,0.05,,0.0413,0.0094,,0.53,0.07,Visible,LHS 196,70.7324,18.95817
LHS 2018,41689,-0.3,0.08,3938,73,,0.57,0.04,,0.0693,0.0115,,0.61,0.07," K-band",LHS 2018,127.4847,61.72576
LHS 2149,46655,-0.1,0.08,3354,73,,0.28,0.06,,0.0101,0.0047,,0.27,0.08," K-band",LHS 2149,142.68576,0.32266
LHS 2155,46769,-0.2,0.08,3803,73,,0.53,0.04,,0.0509,0.0094,,0.57,0.07," K-band",LHS 2155,142.98472,36.32023
LHS 2157,47103,,,3548,79,,0.41,0.05,,0.0245,0.007,,0.43,0.07,Visible,LHS 2157,144.00682,-21.6608
LHS 2173,47513,-0.05,0.08,3587,73,,0.43,0.05,,0.0279,0.0068,,0.45,0.06," K-band",LHS 2173,145.29316,13.20957
LHS 2211,48714,0.11,0.08,3946,73,,0.58,0.04,,0.0705,0.0116,,0.62,0.07," K-band",LHS 2211,149.03613,62.78846
LHS 2259,51007,-0.02,0.08,3800,102,,0.53,0.05,,0.0506,0.013,,0.57,0.07,Visible,LHS 2259,156.29516,-10.22869
LHS 2272,51317,-0.18,0.08,3525,73,,0.4,0.05,,0.0225,0.0062,,0.41,0.07," K-band",LHS 2272,157.23146,0.84101
LHS 2279,51525,0.1,0.08,4243,73,,0.65,0.04,,0.125,0.0171,,0.68,0.07," K-band",LHS 2279,157.85089,45.52605
LHS 2429,56528,,,3707,99,,0.49,0.05,,0.0398,0.0109,,0.52,0.07,Visible,LHS 2429,173.86228,-32.53997
LHS 2794,1628,,,3538,71,,0.41,0.05,,0.0236,0.0062,,0.42,0.06,Visible,LHS 2794,206.46129,-17.96823
LHS 3281,19254,-0.15,0.08,3406,73,,0.32,0.06,,0.0135,0.0051,,0.31,0.07," K-band",LHS 3281,259.96964,41.71382
LHS 3321,21240,0.0,0.08,3512,73,,0.39,0.05,,0.0214,0.0061,,0.4,0.07," K-band",LHS 3321,265.98318,43.37861
LHS 352,323,-0.08,0.08,3798,81,,0.53,0.04,,0.0504,0.0104,,0.56,0.07,Visible,LHS 352,202.49911,10.37716
LHS 3558,101180,-0.09,0.12,3504,73,,0.39,0.05,,0.0208,0.006,,0.4,0.07," K-band",LHS 3558,307.63352,65.44956
LHS 3577,102401,-0.15,0.08,3621,73,,0.45,0.05,,0.031,0.0072,,0.48,0.06," K-band",LHS 3577,311.26708,44.49907
LHS 3595,103096,-0.01,0.08,3772,104,,0.52,0.05,,0.0471,0.0126,,0.55,0.07,Visible,LHS 3595,313.33246,62.15439
LHS 3745,108782,0.03,0.08,3898,73,,0.56,0.04,,0.0635,0.0109,,0.6,0.07," K-band",LHS 3745,330.54281,1.40023
LHS 3885,113576,-0.11,0.08,4225,73,,0.65,0.04,,0.1212,0.0167,,0.68,0.07," K-band",LHS 3885,345.06717,-22.52435
LHS 3904,114411,-0.22,0.08,3597,86,,0.44,0.05,,0.0288,0.0081,,0.46,0.07,Visible,LHS 3904,347.56561,-25.93131
LHS 447,85295,0.11,0.08,4220,73,,0.64,0.04,,0.1199,0.0166,,0.68,0.07," K-band",LHS 447,261.43847,2.11142
LHS 45,60559,,,3427,64,,0.34,0.05,,0.015,0.0047,,0.33,0.06,Visible,LHS 45,186.21876,-18.24229
LHS 462,,-0.17,0.09,3445,73,,0.35,0.05,,0.0163,0.0055,,0.35,0.07," K-band",LHS 462,274.51783,38.77617
LHS 5087,18280,0.21,0.09,4232,73,,0.65,0.04,,0.1227,0.0169,,0.68,0.07," K-band",LHS 5087,58.64778,-6.82601
LHS 517,109388,0.35,0.09,3590,76,,0.44,0.05,,0.0281,0.0071,,0.46,0.07,Visible,LHS 517,332.4181,-4.64073
LHS 5324,18226,0.0,0.08,3421,73,,0.33,0.05,,0.0146,0.0053,,0.33,0.07," K-band",LHS 5324,256.7812,21.55402
LHS 533,113296,0.17,0.08,3786,87,,0.52,0.05,,0.0489,0.0109,,0.56,0.07,Visible,LHS 533,344.14502,16.55343
LHS 543,115332,0.19,0.08,3328,73,,0.26,0.06,,0.0085,0.0045,,0.24,0.08," K-band",LHS 543,350.40604,17.29039
LHS 6128,36834,-0.37,0.08,3687,84,,0.48,0.05,,0.0376,0.0091,,0.51,0.07,Visible,LHS 6128,113.6143,62.9415
LHS 6399,109555,0.26,0.1,3653,73,,0.47,0.04,,0.0341,0.0076,,0.49,0.06," K-band",LHS 6399,332.87539,18.42619
LHS 65,104432,-0.45,0.09,3561,80,,0.42,0.05,,0.0256,0.0072,,0.44,0.07,Visible,LHS 65,317.32261,-13.3025
LP 715-52,21556,-0.04,0.08,3743,88,,0.51,0.05,,0.0438,0.0103,,0.54,0.07,Visible,LP 715-52,69.42444,-11.03887
LP 838-16,29052,-0.15,0.08,3404,66,,0.32,0.05,,0.0134,0.0047,,0.31,0.07,Visible,LP 838-16,91.93224,-25.74486
LTT 15087,18563,0.03,0.08,3340,73,,0.27,0.06,,0.0092,0.0046,,0.25,0.08," K-band",LTT 15087,257.89478,38.44276
LTT 7072,21425,0.12,0.08,3664,95,,0.47,0.05,,0.0352,0.0099,,0.5,0.07,Visible,LTT 7072,266.55209,-32.10353
MCC 541,45343,-0.06,0.08,3990,88,,0.59,0.04,,0.0774,0.0147,,0.63,0.07,Visible,MCC 541,138.59487,52.68661
Ross 248,,0.29,0.08,3067,60,<,0.19,,<,0.0033,,<,0.14,,Visible,Ross 248,355.47912,44.17799
Ross 731,28363,-0.35,0.08,3480,73,,0.37,0.05,,0.0189,0.0058,,0.38,0.07," K-band",Ross 731,286.80501,20.87701
SZ UMa,55360,-0.41,0.08,3807,73,,0.53,0.04,,0.0514,0.0095,,0.57,0.07," K-band",SZ UMa,170.02012,65.84648
TZ Ari,,-0.1,0.08,3276,73,,0.22,0.07,,0.0054,0.0042,,0.18,0.09," K-band",TZ Ari,30.054,13.05195
V1216 Sgr,26867,-0.12,0.08,3272,65,,0.22,0.06,,0.0052,0.0037,,0.18,0.08,Visible,V1216 Sgr,282.45568,-23.83623
V1352 Ori,26857,-0.21,0.08,3321,72,,0.26,0.06,,0.008,0.0045,,0.23,0.08,Visible,V1352 Ori,85.53862,12.48934
V2306 Oph,15288,-0.02,0.08,3442,71,,0.35,0.05,,0.0161,0.0053,,0.35,0.07,Visible,V2306 Oph,247.57524,-12.66259
V2689 Ori,26335,0.05,0.08,3895,98,,0.56,0.05,,0.0632,0.0142,,0.6,0.07,Visible,V2689 Ori,84.12912,11.32787
VX Ari,12781,-0.1,0.08,3485,81,,0.38,0.06,,0.0193,0.0064,,0.38,0.07,Visible,VX Ari,41.06462,25.52336
YZ CMi,37766,0.23,0.08,3280,73,,0.22,0.06,,0.0056,0.0042,,0.19,0.08," K-band",YZ CMi,116.16739,3.55245
YZ Cet,5643,-0.26,0.08,3124,60,<,0.19,,<,0.0033,,<,0.14,,Visible,YZ Cet,18.12766,-16.99898
rho Cnc B,,0.21,0.08,3277,61,,0.22,0.06,,0.0055,0.0035,,0.19,0.07,Visible,rho Cnc B,133.17019,28.31637
