SpT,SpTnum,Teff,logL,M_Msun,R_Rsun,BCv,Mv,B-V,Bt-Vt,G-V,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y
K5V,-2.0,4410,-0.78,0.68,0.6980000138282776,-0.68,7.36,1.15,1.373,-0.41,1.081,0.685,1.272,2.883,0.568,0.132,0.042,-0.073,-0.029,0.019,...,...,5.18,4.48,6.68,...,...
K7V,-1.0,4070,-0.98,0.63,0.6539999842643738,-0.95,8.15,1.33,1.506,-0.57,1.221,0.806,1.529,3.33,0.617,0.162,0.057,...,...,...,...,...,5.6,4.82,7.18,...,...
M0,0.0,3840,-1.192,0.57,0.572783,-1.16,8.91,1.408,1.623,-0.65,1.204,0.889,1.766,3.68,0.626,0.193,0.122,...,...,...,...,...,6.04,5.22,7.75,0.33,...
M0.5,0.5,3770,-1.268,0.54,0.544465,-1.38,9.2,1.441,...,-0.74,1.184,0.924,1.886,3.84,0.62,0.208,0.13,...,...,...,...,...,6.19,5.36,7.9,0.37,...
M1,1.0,3660,-1.392,0.5,0.50083,-1.44,9.69,1.475,...,-0.82,1.172,0.959,2.019,4.02,0.613,0.225,0.137,...,...,...,...,...,6.51,5.67,8.25,0.41,...
M1.5,1.5,3610,-1.464,0.47,0.473847,-1.57,9.97,1.486,...,-0.85,1.17,0.978,2.089,4.12,0.607,0.228,0.105,...,...,...,...,...,6.69,5.85,8.4,0.47,...
M2,2.0,3560,-1.54,0.44,0.446429,-1.65,10.3,1.5,...,-0.92,1.17,1.001,2.173,4.24,0.6,0.234,0.11,...,...,...,...,...,6.89,6.06,8.65,0.53,...
M2.5,2.5,3470,-1.668,0.4,0.405503,-1.76,10.7,1.522,...,-1.02,1.175,1.041,2.306,4.43,0.589,0.244,0.117,...,...,...,...,...,7.01,6.27,8.94,0.57,...
M3,3.0,3410,-1.772,0.37,0.372515,-1.97,11.14,1.544,...,-1.09,1.181,1.079,2.42,4.6,0.579,0.252,0.122,...,...,...,...,...,7.4,6.54,9.17,0.61,...
M3.5,3.5,3260,-2.072,0.27,0.288548,-2.27,12.19,1.602,...,-1.29,1.2,1.178,2.68,5,0.558,0.269,0.132,...,...,...,...,...,8.02,7.19,9.92,0.66,...
M4,4.0,3210,-2.2,0.23,0.256828,-2.59,12.8,1.661,...,-1.41,1.222,1.241,2.831,5.25,0.557,0.282,0.139,...,...,...,...,...,8.39,7.55,10.21,0.71,...
M4.5,4.5,3110,-2.4,0.184,0.217336,-3.05,13.57,1.72,...,-1.55,1.23,1.345,3.073,5.64,0.564,0.301,...,...,...,...,...,...,8.79,7.93,10.52,0.81,...
M5,5.0,3060,-2.52,0.162,0.195528,-3.28,14.3,1.874,...,-1.74,1.24,1.446,3.277,5.94,0.58,0.311,...,0.17,...,...,...,...,9.25,8.36,11.02,0.91,0.47
M5.5,5.5,2940,-2.788,0.123,0.155582,-3.8,15.51,1.91,...,-2.01,1.3,1.656,3.664,6.5,0.588,0.329,...,0.19,...,...,...,...,9.93,9.01,11.71,1.13,0.52
M6,6.0,2810,-3.012,0.102,0.131595,-4.36,16.62,2,...,-2.14,1.3,1.95,4.13,7.3,0.605,0.352,...,0.21,...,...,...,...,10.28,9.32,12.26,1.45,0.6
M6.5,6.5,2730,-3.124,0.093,0.122554,-4.6,17.07,2.06,...,-2.75,...,2.003,4.31,7.6,0.609,0.364,...,0.22,...,...,...,...,10.47,9.47,12.47,1.58,0.64
M7,7.0,2680,-3.188,0.09,0.118136,-5.06,17.81,2.06,...,-2.98,...,2.18,4.45,8.05,0.613,0.386,...,0.24,...,...,...,...,10.76,9.76,12.75,1.77,0.7
M7.5,7.5,2630,-3.236,0.088,0.116076,-5.46,18.42,2.17,...,-3.09,...,2.16,4.56,8.45,0.65,0.422,...,0.25,...,...,...,...,10.68,9.97,12.97,1.85,0.74
M8,8.0,2570,-3.284,0.085,0.115023,-5.7,18.84,2.2,...,-3.11,...,2.15,4.64,8.73,0.67,0.45,...,0.26,...,...,...,...,11.23,10.11,13.14,1.93,0.77
M8.5,8.5,2420,-3.472,0.08,0.104477,-5.8,19.14,...,...,-3.09,...,1.967,4.71,8.92,0.685,0.47,...,0.265,...,...,...,...,11.45,10.22,13.34,1.96,0.8
M9,9.0,2380,-3.52,0.079,0.102211,-5.9,19.36,...,...,-3.07,...,1.89,4.75,9,0.749,0.48,...,0.27,...,...,...,...,11.53,10.3,13.67,1.99,0.82
M9.5,9.5,2350,-3.572,0.078,0.098745,-6.13,19.75,...,...,-3.1,...,2.51,4.79,9.3,0.826,0.505,...,0.27,...,...,...,...,11.78,10.45,13.62,2,0.84
L0V,10.0,2250,-3.57,0.077,0.1080000028014183,...,20,...,...,-3.2,...,...,4.82,9.45,0.79,0.5,...,0.27,...,...,...,...,11.84,10.55,13.67,2.01,0.86
L1V,11.0,2100,-3.7,0.076,0.10700000077486038,...,20.5,...,...,...,...,...,4.91,9.7,0.8,0.54,...,0.28,...,...,...,...,12.14,10.8,13.99,2.02,0.88
L2V,12.0,1960,-3.84,0.075,0.10400000214576721,...,20.9,...,...,...,...,...,5.05,10,0.87,0.57,...,0.28,...,...,...,...,12.34,10.9,14.34,2.04,0.9
L3V,13.0,1830,-3.98,,0.10199999809265137,...,21.7,...,...,...,...,...,5.29,10.4,1.0,0.63,...,0.29,...,...,...,...,12.93,11.3,14.96,2.1,0.92
L4V,14.0,1700,-4.11,,0.10199999809265137,...,22.3,...,...,...,...,...,5.57,10.9,1.14,0.63,...,0.3,...,...,...,...,13.17,11.4,15.02,2.2,0.94
L5V,15.0,1590,-4.24,,0.10000000149011612,...,23.1,...,...,...,...,...,6.28,11.4,1.13,0.65,...,0.32,...,...,...,...,13.6,11.82,15.34,2.33,0.97
L6V,16.0,1490,-4.36,,0.0989999994635582,...,...,...,...,...,...,...,...,...,1.08,0.64,...,0.36,...,...,...,...,13.99,12.27,15.64,2.51,1
L7V,17.0,1410,-4.46,,0.0989999994635582,...,...,...,...,...,...,...,...,...,1.1,0.62,...,0.41,...,...,...,...,14.34,12.62,15.89,2.71,1.04
L8V,18.0,1350,-4.55,,0.09700000286102295,...,...,...,...,...,...,...,...,...,1.14,0.63,...,0.48,...,...,...,...,14.47,12.7,16.12,2.93,1.09
