recno,ori,Name,CNS3,RAJ2000,DEJ2000,Fbol,e_Fbol,Teff,e_Teff,R,e_R,M,e_M,[Fe/H],e_[Fe/H],SpT,SpTnum,Bmag,e_Bmag,Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Fbol0,e_Fbol0,Teff0,e_Teff0,R0,e_R0,M0,e_M0,Age0,e_Age0,chi2,SimbadName
114,0,PM I15354+6005,,233.857,60.08544,0.0894,0.0013,3252,60,0.318,0.013,0.279,0.028,-0.01,0.08,M4.1,4.0,14.881,0.021,13.426,0.016,12.226,0.012,10.654,0.02,14.211,0.021,12.813,0.011,11.433,0.013,10.662,0.013,9.256,0.017,8.694,0.017,8.426,0.02,12.441,0.014,13.821,0.014,10.935,0.014,0.0894,0.0021,3390,34,0.292,0.008,0.292,0.01,9.45,0.61,9.946,LSPM J1535+6005E
122,0,PM I16570-0420,GJ 1207,254.27377,-4.34888,0.2861,0.0046,3229,60,0.262,0.011,0.228,0.023,-0.09,0.08,M4.1,4.0,13.885,0.021,12.277,0.016,11.052,0.012,9.444,0.02,13.146,0.021,11.663,0.011,10.233,0.013,9.428,0.013,7.981,0.017,7.411,0.017,7.125,0.02,11.255,0.014,12.713,0.014,9.722,0.014,0.2861,0.0069,3346,27,0.244,0.006,0.233,0.007,9.36,0.61,6.673,GJ 1207
139,0,PM I18363+1336S,GJ 4065,279.08014,13.60734,0.2389,0.0029,3223,61,0.291,0.013,0.247,0.025,0.04,0.08,M4.1,4.0,14.151,0.023,12.477,0.016,11.19,0.013,9.591,0.02,13.368,0.022,11.82,0.011,10.356,0.013,9.594,0.013,8.176,0.017,7.609,0.017,7.371,0.02,11.411,0.014,12.909,0.014,9.873,0.014,0.2389,0.0044,3339,32,0.269,0.008,0.262,0.01,9.36,0.59,6.774,GJ 4065
145,0,PM I18498-2350,Gl 729,282.45557,-23.8362,1.451,0.017,3240,60,0.2008,0.0076,0.17,0.017,-0.18,0.08,M4.1,4.0,12.191,0.02,10.528,0.016,9.229,0.012,7.619,0.02,11.411,0.021,9.842,0.011,8.404,0.013,7.623,0.013,6.225,0.017,5.661,0.017,5.394,0.02,9.446,0.014,10.943,0.014,7.907,0.014,1.451,0.026,3252,21,0.199,0.003,0.181,0.004,9.44,0.57,0.16,Gl 729
151,0,PM I19321-1119,,293.03379,-11.33258,0.06578,9.6E-4,3211,60,0.258,0.01,0.222,0.022,0.05,0.03,M4.1,4.0,15.402,0.021,13.894,0.016,12.662,0.012,11.036,0.02,14.682,0.021,13.287,0.011,11.832,0.013,11.036,0.014,9.578,0.017,8.995,0.017,8.72,0.02,12.858,0.014,14.306,0.014,11.329,0.014,0.0658,0.0015,3299,14,0.244,0.004,0.23,0.006,9.4,0.61,4.146,PM J19321-1119
166,0,PM I22160+5439,GJ 4269,334.01079,54.66653,0.05621,9.4E-4,3226,63,0.289,0.012,0.246,0.025,-0.04,0.08,M4.1,4.0,15.43,0.024,13.971,0.018,12.79,0.013,11.168,0.02,14.694,0.023,13.412,0.011,11.961,0.013,11.16,0.013,9.742,0.017,9.193,0.017,8.942,0.02,12.974,0.014,14.391,0.014,11.453,0.014,0.0562,0.0015,3360,31,0.265,0.007,0.259,0.008,9.39,0.63,8.586,GJ 4269 B
49,0,PM I06000+0242,GJ 3379,90.01458,2.70657,0.777,0.012,3214,60,0.263,0.01,0.226,0.023,0.07,0.08,M4.2,4.0,12.972,0.021,11.281,0.016,10.019,0.012,8.386,0.02,12.187,0.021,10.648,0.011,9.183,0.013,8.364,0.013,6.891,0.017,6.302,0.017,6.052,0.02,10.217,0.014,11.725,0.014,8.669,0.014,0.777,0.019,3297,30,0.249,0.006,0.237,0.007,9.37,0.61,3.762,GJ 3379
133,0,PM I17578+0441N,Gl 699,269.45218,4.69195,3.263,0.057,3228,60,0.1863,0.0071,0.155,0.015,-0.4,0.08,M4.2,4.0,11.23,0.02,9.527,0.016,8.315,0.012,6.73,0.02,10.428,0.02,8.913,0.011,7.508,0.013,6.734,0.013,5.296,0.017,4.801,0.017,4.533,0.02,8.537,0.014,9.978,0.014,7.014,0.014,3.263,0.089,3269,29,0.181,0.004,0.162,0.004,9.39,0.61,1.016,Gl 699
57,0,PM I06490+3706,GJ 1092,102.27271,37.11406,0.0677,8.9E-4,3207,61,0.201,0.011,0.163,0.016,-0.51,0.08,M4.3,4.5,15.428,0.022,13.783,0.017,12.545,0.013,10.906,0.02,14.596,0.022,13.186,0.011,11.7,0.013,10.901,0.013,9.523,0.017,9.048,0.017,8.773,0.02,12.737,0.014,14.228,0.014,11.195,0.014,0.0677,0.0019,3298,41,0.188,0.009,0.169,0.009,9.39,0.58,4.544,GJ 1092
93,0,PM I11477+0048,Gl 447,176.93491,0.80473,1.028,0.014,3192,60,0.1967,0.0077,0.168,0.017,-0.02,0.08,M4.3,4.5,12.862,0.021,11.148,0.016,9.826,0.012,8.129,0.02,12.044,0.021,10.51,0.011,8.938,0.013,8.073,0.013,6.568,0.017,6.0,0.017,5.682,0.019,9.991,0.014,11.597,0.014,8.409,0.014,1.028,0.02,3201,26,0.195,0.004,0.176,0.004,9.45,0.6,0.081,Gl 447
107,0,,Gl 544 B,214.89937,-5.15222,0.02828,4.1E-4,3191,60,0.2032,0.0085,0.173,0.017,-0.18,0.03,M4.3,4.5,16.586,0.023,14.905,0.016,13.668,0.013,12.009,0.02,15.749,0.022,14.32,0.011,12.813,0.013,11.964,0.013,10.479,0.017,9.904,0.017,9.601,0.02,13.844,0.014,15.364,0.014,12.288,0.014,0.02828,6.4E-4,3242,13,0.196,0.004,0.178,0.005,9.43,0.6,1.56,Gl 544 B
140,0,PM I18411+2447S,GJ 1230A,280.29071,24.78732,0.431,0.014,3232,60,0.372,0.017,0.341,0.034,0.24,0.08,M4.3,4.5,14.032,0.021,12.205,0.016,10.856,0.013,9.116,0.02,13.173,0.021,11.569,0.011,9.946,0.013,9.05,0.013,7.511,0.017,6.898,0.017,6.611,0.02,11.002,0.014,12.675,0.014,9.401,0.014,0.431,0.02,3365,31,0.341,0.013,0.348,0.016,9.55,0.6,8.298,GJ 1230A
181,0,PM I23431+3632,GJ 1289,355.77631,36.537,0.2518,0.0045,3173,60,0.238,0.013,0.202,0.02,0.05,0.08,M4.3,4.5,14.376,0.021,12.652,0.016,11.351,0.012,9.674,0.02,13.554,0.021,12.022,0.011,10.479,0.013,9.612,0.013,8.097,0.017,7.515,0.017,7.225,0.02,11.522,0.014,13.103,0.014,9.947,0.014,0.2518,0.0068,3250,35,0.224,0.011,0.206,0.011,9.42,0.61,2.795,GJ 1289
21,0,PM I02190+2352,GJ 3150,34.75973,23.88192,0.05432,8.4E-4,3216,60,0.273,0.015,0.235,0.023,-0.07,0.08,M4.4,4.5,15.934,0.023,14.127,0.017,12.81,0.013,11.193,0.02,15.137,0.023,13.438,0.011,11.971,0.013,11.208,0.013,9.798,0.017,9.219,0.017,8.941,0.02,13.033,0.014,14.57,0.014,11.484,0.014,0.0543,0.0012,3342,33,0.251,0.012,0.24,0.015,9.37,0.62,6.819,GJ 3150
23,0,PM I02336+2455,Gl 102,38.40492,24.92717,0.1772,0.002,3199,62,0.204,0.012,0.174,0.017,0.0,0.08,M4.4,4.5,14.791,0.022,13.046,0.017,11.703,0.013,10.005,0.02,13.997,0.023,12.381,0.011,10.817,0.013,9.968,0.013,8.493,0.017,7.903,0.017,7.606,0.02,11.875,0.014,13.492,0.014,10.293,0.014,0.1772,0.0029,3210,36,0.201,0.009,0.182,0.01,9.42,0.59,0.089,Gl 102
144,0,PM I18453+1851,,281.34558,18.86624,0.0876,0.0012,3214,60,0.217,0.0087,0.184,0.018,-0.13,0.08,M4.4,4.5,15.419,0.022,13.727,0.017,12.413,0.013,10.738,0.02,14.661,0.023,13.068,0.011,11.547,0.013,10.713,0.013,9.259,0.017,8.674,0.017,8.416,0.02,12.595,0.014,14.16,0.014,11.027,0.014,0.0876,0.0017,3273,23,0.209,0.004,0.192,0.005,9.38,0.61,1.821,LSPM J1845+1851
153,0,PM I20034+2951,Gl 777B,300.86075,29.86652,0.0621,0.0014,3144,60,0.2084,0.0097,0.176,0.018,0.06,0.08,M4.4,4.5,16.045,0.025,14.405,0.018,13.082,0.013,11.292,0.02,15.213,0.023,13.832,0.011,12.139,0.013,11.17,0.013,9.584,0.017,9.013,0.017,8.697,0.02,13.178,0.014,14.869,0.014,11.562,0.014,0.0621,0.0021,3190,31,0.202,0.007,0.182,0.007,9.39,0.6,1.087,Gl 777B
42,0,PM I05019-0656,GJ 3323,75.48946,-6.94609,0.3994,0.0046,3143,60,0.2005,0.0079,0.161,0.016,-0.06,0.08,M4.5,4.5,13.917,0.023,12.135,0.016,10.788,0.013,9.082,0.02,13.057,0.022,11.468,0.011,9.898,0.013,9.055,0.013,7.594,0.017,7.034,0.017,6.783,0.02,10.959,0.014,12.585,0.014,9.375,0.014,0.3994,0.0071,3204,24,0.192,0.004,0.173,0.004,9.38,0.6,2.258,GJ 3323
54,0,PM I06246+2325,Gl 232,96.17205,23.43305,0.1464,0.002,3165,60,0.1948,0.0096,0.154,0.015,-0.18,0.08,M4.5,4.5,14.815,0.022,13.099,0.016,11.81,0.013,10.131,0.02,13.989,0.022,12.47,0.011,10.943,0.013,10.084,0.014,8.657,0.017,8.18,0.017,7.929,0.02,11.984,0.014,13.55,0.014,10.414,0.014,0.1464,0.0032,3216,30,0.187,0.007,0.167,0.008,9.41,0.6,1.508,Gl 232
90,0,PM I11311-1457,GJ 3668,172.78482,-14.9556,0.0774,0.0011,3109,62,0.1901,0.0085,0.154,0.015,-0.07,0.08,M4.5,4.5,15.952,0.028,14.171,0.019,12.739,0.013,10.958,0.02,15.186,0.026,13.496,0.011,11.793,0.013,10.878,0.014,9.36,0.018,8.798,0.017,8.484,0.02,12.868,0.014,14.63,0.014,11.242,0.014,0.0774,0.0017,3170,27,0.182,0.005,0.161,0.005,9.44,0.61,1.998,GJ 3668
94,0,PM I11509+4822,GJ 1151,177.74054,48.37739,0.1681,0.0021,3118,60,0.1903,0.0091,0.154,0.015,0.03,0.08,M4.5,4.5,15.021,0.021,13.234,0.016,11.849,0.012,10.088,0.02,14.153,0.021,12.578,0.011,10.92,0.013,10.032,0.013,8.523,0.017,7.95,0.017,7.655,0.02,11.988,0.014,13.687,0.014,10.38,0.014,0.1681,0.0033,3152,31,0.185,0.006,0.163,0.007,9.4,0.6,0.743,GJ 1151
113,0,PM I15238+1727,Gl 585,230.96307,17.46593,0.0976,0.0013,3164,60,0.187,0.011,0.152,0.015,-0.25,0.08,M4.5,4.5,15.471,0.021,13.714,0.016,12.37,0.012,10.636,0.02,14.623,0.021,13.077,0.011,11.46,0.013,10.562,0.013,9.087,0.017,8.593,0.017,8.305,0.02,12.513,0.014,14.17,0.014,10.914,0.014,0.0976,0.002,3213,36,0.18,0.008,0.159,0.01,9.45,0.61,1.111,Gl 585
33,0,PM I03361+3118,,54.03624,31.31099,0.0902,0.0011,3086,60,0.233,0.012,0.189,0.019,0.07,0.08,M4.7,4.5,15.641,0.021,13.995,0.016,12.638,0.013,10.851,0.02,14.864,0.022,13.365,0.011,11.697,0.013,10.762,0.014,9.194,0.017,8.606,0.017,8.306,0.02,12.746,0.014,14.428,0.014,11.133,0.014,0.0902,0.0016,3214,33,0.214,0.008,0.194,0.009,9.39,0.61,7.258,LSPM J0336+3118
34,0,PM I03526+1701,GJ 3253,58.17401,17.01785,0.1116,0.0015,3079,60,0.2043,0.0092,0.166,0.017,0.01,0.08,M4.7,4.5,15.579,0.021,13.775,0.016,12.383,0.012,10.596,0.02,14.721,0.021,13.123,0.011,11.44,0.013,10.52,0.013,8.964,0.017,8.373,0.017,8.054,0.019,12.505,0.014,14.236,0.014,10.885,0.014,0.1116,0.0022,3171,29,0.192,0.005,0.171,0.006,9.44,0.6,4.271,GJ 3253
36,0,,Gl 166 C,63.84055,-7.65482,0.874,0.012,3167,60,0.274,0.011,0.222,0.022,-0.21,0.08,M4.7,4.5,12.831,0.021,11.23,0.016,9.947,0.012,8.221,0.02,12.078,0.021,10.638,0.011,9.042,0.013,8.163,0.013,6.708,0.017,6.219,0.017,5.975,0.02,10.087,0.014,11.672,0.014,8.506,0.014,0.874,0.019,3362,18,0.242,0.004,0.233,0.005,9.44,0.6,19.414,Gl 166 C
156,0,PM I20260+5834,GJ 1253,306.52203,58.57293,0.1025,0.0019,3045,60,0.1831,0.0097,0.15,0.015,0.14,0.08,M4.7,4.5,15.838,0.022,14.167,0.017,12.75,0.013,10.913,0.02,15.015,0.022,13.539,0.011,11.773,0.013,10.774,0.013,9.061,0.017,8.365,0.017,8.074,0.019,12.827,0.014,14.612,0.014,11.184,0.014,0.1025,0.0029,3084,33,0.177,0.007,0.152,0.008,9.41,0.61,0.787,GJ 1253
180,0,PM I23428+3049,GJ 1288,355.71973,30.82273,0.05956,7.2E-4,3113,60,0.1864,0.0086,0.149,0.015,-0.12,0.08,M4.7,4.5,16.063,0.022,14.375,0.017,13.001,0.013,11.207,0.02,15.26,0.022,13.738,0.011,12.06,0.013,11.111,0.013,9.631,0.017,9.118,0.017,8.806,0.02,13.112,0.014,14.824,0.014,11.493,0.014,0.0596,0.0011,3172,26,0.178,0.005,0.157,0.006,9.4,0.6,1.835,GJ 1288
8,0,PM I01125-1659,Gl 54.1,18.12749,-16.99906,0.5206,0.0082,3056,60,0.168,0.0085,0.13,0.013,-0.26,0.08,M4.9,5.0,13.877,0.021,12.082,0.016,10.662,0.012,8.866,0.02,13.021,0.021,11.399,0.011,9.71,0.013,8.789,0.013,7.285,0.017,6.751,0.017,6.441,0.02,10.78,0.014,12.527,0.014,9.155,0.014,0.521,0.012,3132,31,0.159,0.006,0.136,0.005,9.4,0.62,2.817,PM J01125-1659
16,0,PM I02002+1303,Gl 83.1,30.05402,13.05196,0.4275,0.0066,3080,60,0.187,0.01,0.144,0.014,-0.16,0.08,M4.9,5.0,14.078,0.021,12.285,0.016,10.857,0.012,9.068,0.02,13.228,0.021,11.594,0.011,9.91,0.013,8.99,0.013,7.497,0.017,6.949,0.017,6.688,0.02,10.979,0.014,12.724,0.014,9.356,0.014,0.4275,0.0098,3165,31,0.174,0.007,0.152,0.009,9.34,0.62,3.533,Gl 83.1
118,0,PM I16509+2227,GJ 3976,252.74139,22.45158,0.0934,0.001,3054,60,0.1936,0.0097,0.151,0.015,-0.12,0.08,M4.9,5.0,15.809,0.023,14.027,0.017,12.582,0.013,10.747,0.02,14.957,0.022,13.36,0.011,11.602,0.013,10.66,0.013,9.139,0.017,8.602,0.017,8.295,0.02,12.678,0.014,14.479,0.014,11.039,0.014,0.0934,0.0015,3171,28,0.178,0.006,0.156,0.007,9.43,0.6,6.501,GJ 3976
178,0,PM I23318+1956E,Gl 896B,352.9689,19.93719,0.617,0.018,3072,60,0.303,0.013,0.24,0.024,0.03,0.08,M4.9,5.0,13.892,0.023,12.096,0.016,10.587,0.012,8.714,0.02,13.092,0.023,11.376,0.011,9.592,0.013,8.569,0.013,7.071,0.017,6.568,0.017,6.284,0.02,10.654,0.014,12.531,0.014,8.99,0.014,0.617,0.027,3309,32,0.259,0.008,0.248,0.009,9.4,0.63,28.053,Gl 896B
14,0,PM I01510-0607,GJ 3119,27.76688,-6.11799,0.07207,8.2E-4,3011,61,0.1731,0.0078,0.132,0.013,-0.03,0.08,M5.1,5.0,16.301,0.029,14.444,0.02,12.986,0.013,11.111,0.02,15.41,0.028,13.783,0.012,11.979,0.013,10.988,0.013,9.408,0.017,8.856,0.017,8.553,0.02,13.051,0.014,14.912,0.014,11.394,0.014,0.0721,0.0013,3089,29,0.164,0.004,0.138,0.004,9.35,0.59,3.117,GJ 3119
51,0,PM I06024+4951,GJ 3380,90.62159,49.86562,0.0764,0.0012,3000,60,0.1635,0.008,0.127,0.013,0.01,0.08,M5.1,5.0,16.243,0.023,14.541,0.017,13.048,0.013,11.146,0.02,15.374,0.022,13.885,0.011,12.022,0.013,10.991,0.013,9.352,0.017,8.738,0.017,8.447,0.02,13.088,0.014,14.981,0.014,11.419,0.014,0.0764,0.0018,3044,32,0.157,0.005,0.131,0.005,9.39,0.6,1.219,GJ 3380
179,0,PM I23419+4410,Gl 905,355.47919,44.17748,0.759,0.012,2930,60,0.1894,0.0079,0.145,0.015,0.23,0.08,M5.2,5.0,14.236,0.023,12.372,0.017,10.733,0.013,8.762,0.02,13.337,0.022,11.64,0.011,9.666,0.013,8.547,0.013,6.843,0.017,6.222,0.017,5.872,0.02,10.732,0.014,12.814,0.014,9.019,0.014,0.759,0.016,3043,25,0.175,0.003,0.147,0.004,9.42,0.63,7.094,Gl 905
6,0,PM I01056+2829,GJ 1029,16.40681,28.49266,0.0668,9.1E-4,2981,61,0.193,0.011,0.148,0.015,0.14,0.08,M5.3,5.5,16.646,0.023,14.82,0.018,13.297,0.013,11.361,0.02,15.74,0.023,14.153,0.011,12.26,0.013,11.152,0.013,9.477,0.017,8.882,0.017,8.588,0.02,13.311,0.014,15.275,0.014,11.619,0.014,0.0668,0.0014,3084,33,0.178,0.007,0.153,0.009,9.33,0.62,4.961,GJ 1029
85,0,PM I10522+0555,GJ 3631,163.05936,5.91939,0.04934,6.2E-4,3039,60,0.1646,0.0076,0.128,0.013,0.1,0.08,M5.4,5.5,16.548,0.023,14.803,0.017,13.368,0.013,11.495,0.02,15.761,0.023,14.148,0.011,12.37,0.013,11.387,0.013,9.816,0.017,9.268,0.017,8.978,0.02,13.438,0.014,15.258,0.014,11.789,0.014,0.04934,9.8E-4,3047,30,0.163,0.005,0.136,0.004,9.43,0.59,0.072,GJ 3631
82,0,PM I10430-0912,,160.76222,-9.21141,0.05641,7.4E-4,2951,60,0.198,0.01,0.152,0.015,-0.2,0.08,M5.5,5.5,17.023,0.025,15.071,0.018,13.524,0.013,11.561,0.02,16.006,0.024,14.412,0.012,12.466,0.013,11.354,0.014,9.657,0.017,9.076,0.017,8.731,0.02,13.525,0.014,15.553,0.014,11.823,0.014,0.0564,0.0011,3160,27,0.171,0.006,0.149,0.007,9.41,0.59,19.287,FBS L 10-72
20,0,PM I02171+3526,GJ 3147,34.29176,35.44235,0.04153,6.3E-4,2880,60,0.1502,0.0067,0.113,0.011,0.17,0.08,M5.8,6.0,17.7,0.04,15.85,0.04,14.205,0.013,12.103,0.02,16.527,0.025,15.205,0.04,13.063,0.013,11.811,0.014,9.974,0.017,9.352,0.017,9.007,0.02,14.085,0.014,16.181,0.014,12.344,0.014,0.04153,9.9E-4,2919,26,0.145,0.003,0.117,0.002,9.39,0.61,0.939,GJ 3147
86,0,PM I10564+0700,Gl 406,164.12042,7.01472,0.5798,0.0069,2818,60,0.1348,0.0058,0.0997,0.01,0.25,0.08,M5.9,6.0,15.518,0.021,13.52,0.017,11.612,0.012,9.366,0.02,14.582,0.022,12.774,0.011,10.376,0.013,8.977,0.013,7.074,0.017,6.462,0.017,6.147,0.02,11.395,0.014,13.993,0.014,9.581,0.014,0.58,0.012,2808,27,0.135,0.003,0.105,0.008,9.45,0.53,0.504,Gl 406
152,0,PM I19539+4424E,GJ 1245B,298.47977,44.41508,0.1986,0.0032,2859,60,0.143,0.0069,0.103,0.01,-0.05,0.08,M5.9,6.0,15.817,0.022,13.957,0.016,12.273,0.012,10.178,0.02,14.896,0.022,13.275,0.011,11.121,0.013,9.937,0.014,8.26,0.017,7.721,0.017,7.405,0.02,12.189,0.014,14.42,0.014,10.444,0.014,0.1986,0.0053,2919,34,0.136,0.004,0.11,0.004,9.49,0.6,1.985,GJ 1245B
1,0,PM I00115+5908,,2.88253,59.14441,0.0421,9.1E-4,2864,60,0.1361,0.0061,0.1,0.01,-0.27,0.08,M6.1,6.0,17.35,0.04,15.611,0.04,13.926,0.012,11.805,0.02,16.325,0.024,14.953,0.011,12.703,0.013,11.594,0.014,9.957,0.018,9.405,0.017,9.075,0.02,13.827,0.014,16.019,0.014,12.088,0.014,0.0421,0.0014,2921,32,0.13,0.003,0.107,0.009,9.46,0.59,1.935,PM J00115+5908
19,0,PM I02164+1335,GJ 3146,34.12439,13.58685,0.04532,5.4E-4,2829,60,0.1447,0.0091,0.103,0.01,-0.03,0.08,M6.1,6.0,17.741,0.025,15.758,0.018,14.002,0.013,11.837,0.02,16.734,0.024,15.072,0.011,12.811,0.013,11.559,0.013,9.858,0.017,9.316,0.017,8.988,0.02,13.868,0.014,16.243,0.014,12.097,0.014,0.04532,9.2E-4,2899,48,0.135,0.006,0.109,0.006,9.41,0.58,2.477,GJ 3146
89,0,PM I11055+4331,Gl 412B,166.37876,43.52164,0.1311,0.0015,2863,60,0.1262,0.0054,0.0952,0.0095,-0.32,0.08,M6.6,6.5,16.435,0.026,14.472,0.018,12.738,0.012,10.581,0.02,15.529,0.025,13.759,0.011,11.548,0.013,10.4,0.013,8.733,0.017,8.148,0.017,7.815,0.02,12.638,0.014,14.947,0.014,10.886,0.014,,,,,,,,,,,,Gl 412B
69,0,PM I08298+2646,GJ 1111,127.45563,26.77604,0.2016,0.0022,2800,60,0.1226,0.0056,0.0937,0.0094,-0.15,0.08,M6.7,6.5,16.227,0.022,14.834,0.019,12.974,0.013,10.611,0.02,15.557,0.025,14.253,0.012,11.674,0.013,10.166,0.013,8.22,0.017,7.617,0.017,7.237,0.02,12.643,0.014,15.233,0.014,10.81,0.014,,,,,,,,,,,,GJ 1111
28,0,PM I02530+1652,,43.25369,16.8813,0.1655,0.0029,2800,60,0.118,0.0052,0.0897,0.009,-0.31,0.08,M7.0,7.0,17.001,0.039,15.133,0.022,13.054,0.013,10.65,0.02,16.006,0.033,14.473,0.012,11.706,0.013,10.257,0.013,8.409,0.017,7.881,0.017,7.5,0.02,12.723,0.014,15.624,0.015,10.876,0.014,,,,,,,,,,,,PM J02530+1652
121,0,PM I16555-0823,Gl 644 C,253.89705,-8.39448,0.04725,0.001,2700,60,0.1131,0.0053,0.0841,0.0084,-0.07,0.08,M7.0,7.0,18.663,0.028,16.758,0.017,14.577,0.013,12.127,0.02,17.662,0.024,16.019,0.011,13.212,0.013,11.69,0.013,9.777,0.017,9.197,0.017,8.832,0.019,14.204,0.014,17.215,0.014,12.341,0.014,,,,,,,,,,,,Gl 644 C
74,0,PM I09437-1747,,145.94307,-17.78518,0.06781,7.9E-4,3302,65,0.1902,0.0082,0.153,0.015,-0.61,0.08,sdM2.9,,15.0,0.022,13.161,0.016,12.041,0.013,10.795,0.02,14.195,0.022,12.459,0.011,11.482,0.013,10.898,0.013,9.595,0.017,9.097,0.017,8.903,0.02,12.429,0.014,13.598,0.014,11.043,0.014,,,,,,,,,,,,LP 788-27
