_RAJ2000,_DEJ2000,Name,2MASS,Teff1,e_Teff1,Diam1,e_Diam1,BCV1,e_BCV1,BCJ1,e_BCJ1,mbol1,e_mbol1,logL1,e_logL1,n_logL1,Teff2,e_Teff2,Diam2,e_Diam2,BCV2,e_BCV2,BCJ2,e_BCJ2,mbol2,e_mbol2,logL2,e_logL2,n_logL2,_RA,_DE
1.4689583,-41.7530278,HIP 490,00055255-4145109,5990,16,250,1,-0.06,0.02,0.98,0.02,7.45,0.02,0.114,0.048,,5968,15,250,1,-0.05,0.02,1.0,0.02,7.46,0.02,0.108,0.047,,1.46896,-41.75303
1.7086667,-23.1075278,HR 9,00065008-2306271,6796,25,346,1,0.0,0.02,0.74,0.03,6.19,0.02,0.617,0.033,,6773,21,348,1,0.01,0.02,0.75,0.03,6.2,0.02,0.614,0.032,,1.70867,-23.10753
3.4708333,-74.6882778,HIP 1113,00135300-7441178,5434,15,180,1,-0.17,0.02,1.18,0.03,8.59,0.02,-0.238,0.074,,5401,16,180,1,-0.15,0.02,1.21,0.03,8.61,0.02,-0.247,0.074,,3.47083,-74.68828
4.6088333,-63.4774722,HIP 1481,00182612-6328389,6150,18,242,1,-0.06,0.02,0.94,0.02,7.41,0.02,0.177,0.045,,6123,17,242,1,-0.04,0.02,0.96,0.02,7.42,0.02,0.171,0.045,,4.60883,-63.47747
5.8945,20.2411667,TYC 1186-706-1,00233468+2014282,4055,15,189,1,-1.09,0.1,1.61,0.03,9.75,0.03,,,,3888,42,197,1,-1.0,0.11,1.7,0.05,9.84,0.05,,,,5.8945,20.24117
6.0374583,-62.1845,HIP 1910,00240899-6211042,3823,18,188,2,-1.31,0.02,1.64,0.03,10.02,0.03,-0.659,0.288,,3805,24,189,2,-1.31,0.02,1.64,0.03,10.03,0.02,-0.66,0.288,,6.03746,-62.1845
6.3110417,-61.5134167,HIP 1993,00251465-6130483,4015,14,159,1,-1.09,0.03,1.56,0.03,10.17,0.03,-0.845,0.222,,3975,17,161,1,-1.07,0.03,1.57,0.03,10.19,0.03,-0.85,0.222,,6.31104,-61.51342
8.7133333,-61.9161944,HIP 2729,00345120-6154583,4376,10,252,1,-0.76,0.02,1.46,0.02,8.8,0.02,-0.33,0.087,,4318,9,256,1,-0.74,0.01,1.48,0.02,8.82,0.02,-0.339,0.087,,8.71333,-61.91619
11.36725,-51.6260833,HIP 3556,00452814-5137339,3576,23,190,2,-1.63,0.02,1.8,0.02,10.28,0.03,-0.998,0.214,,3590,32,190,3,-1.64,0.02,1.79,0.02,10.27,0.02,-0.993,0.214,,11.36725,-51.62608
16.79975,-19.5933056,TYC 5853-1318-1,01071194-1935359,3782,33,208,1,-1.61,0.08,1.7,0.04,9.85,0.05,,,,3686,29,214,2,-1.56,0.08,1.74,0.04,9.89,0.04,,,,16.79975,-19.59331
18.3139583,-64.1930833,CPD-64 120,01131535-6411351,4909,12,120,1,-0.39,0.01,1.29,0.02,9.9,0.02,,,,4868,11,121,1,-0.36,0.01,1.31,0.02,9.93,0.02,,,,18.31396,-64.19308
20.8385833,-57.48075,HD 8558,01232126-5728507,5571,17,187,1,-0.14,0.02,1.15,0.03,8.39,0.02,-0.064,0.083,,5543,15,187,1,-0.12,0.02,1.17,0.03,8.41,0.02,-0.072,0.083,,20.83858,-57.48075
22.0361667,-52.6386389,HD 9054,01280868-5238191,4726,10,206,1,-0.46,0.02,1.49,0.02,8.89,0.02,-0.542,0.072,,4673,10,208,1,-0.43,0.02,1.52,0.02,8.92,0.02,-0.553,0.073,,22.03617,-52.63864
24.4141667,18.5925556,TYC 1208-468-1,01373940+1835332,4245,14,241,1,-0.87,0.03,1.55,0.03,9.03,0.03,,,,4201,16,242,1,-0.83,0.03,1.58,0.03,9.06,0.03,,,,24.41417,18.59256
29.454,-21.9014444,HIP 9141,01574896-2154052,5709,17,218,1,-0.12,0.02,1.1,0.03,7.95,0.02,-0.056,0.056,,5682,16,218,1,-0.1,0.02,1.12,0.03,7.97,0.02,-0.064,0.056,,29.454,-21.90144
31.146375,-54.8816667,HD 12894,02043513-5452540,6713,20,316,1,-0.01,0.02,0.75,0.05,6.44,0.02,0.682,0.045,,6688,21,317,1,0.0,0.02,0.76,0.05,6.45,0.02,0.68,0.045,,31.14637,-54.88167
31.8252083,-53.1990278,HD 13183,02071805-5311565,5525,16,181,1,-0.15,0.02,1.15,0.03,8.49,0.02,-0.081,0.066,,5496,15,182,1,-0.13,0.02,1.17,0.03,8.51,0.02,-0.089,0.066,,31.82521,-53.19903
31.8587917,-59.6794167,HD 13246,02072611-5940459,6126,20,238,1,-0.05,0.02,0.92,0.03,7.45,0.02,0.211,0.042,,6100,19,239,1,-0.03,0.02,0.94,0.03,7.47,0.02,0.205,0.042,,31.85879,-59.67942
31.8841667,-59.6725,CD-60 416,02073220-5940210,4280,11,163,1,-0.85,0.01,1.5,0.03,9.83,0.02,,,,4223,10,166,1,-0.83,0.01,1.52,0.03,9.85,0.02,,,,31.88417,-59.6725
34.353,28.7418056,HIP 10679,02172472+2844305,5867,19,237,1,-0.1,0.02,1.08,0.03,7.65,0.02,-0.285,0.319,,5836,19,237,1,-0.07,0.02,1.11,0.03,7.68,0.02,-0.295,0.319,,34.353,28.74181
34.3552917,28.7450833,HIP 10680,02172527+2844423,6299,35,283,2,-0.03,0.03,0.91,0.04,6.96,0.04,0.196,0.2,,6269,36,284,2,-0.02,0.03,0.92,0.04,6.97,0.04,0.19,0.2,,34.35529,28.74508
35.8609583,22.73525,HIP 11152,02232663+2244069,3906,20,192,2,-1.22,0.01,1.69,0.02,9.87,0.01,-1.132,0.163,,3898,24,192,2,-1.2,0.01,1.71,0.02,9.89,0.01,-1.138,0.163,,35.86096,22.73525
36.8668333,30.9779167,BD+30 397B,02272804+3058405,3470,21,173,2,-1.83,0.02,1.8,0.05,10.62,0.03,,,,,,,,,,,,,,,,,36.86683,30.97792
36.8718333,30.9735,AG Tri,02272924+3058246,4359,12,195,1,-0.75,0.01,1.5,0.04,9.37,0.02,-0.641,0.18,,4308,10,197,1,-0.72,0.01,1.53,0.04,9.4,0.02,-0.655,0.18,,36.87183,30.9735
37.6349583,-43.7064444,TYC 7558-655-1,02303239-4342232,4360,25,181,1,-0.78,0.05,1.51,0.04,9.53,0.05,,,,4312,22,183,1,-0.76,0.05,1.53,0.04,9.55,0.05,,,,37.63496,-43.70644
39.2154583,-52.051,GSC 8056-0482,02365171-5203036,3436,20,209,2,-1.86,0.01,1.83,0.03,10.25,0.02,,,,,,,,,,,,,,,,,39.21546,-52.051
40.357875,5.9883611,HIP 12545,02412589+0559181,4044,14,212,1,-1.06,0.03,1.61,0.03,9.51,0.04,-0.656,0.127,,4004,16,215,1,-1.05,0.03,1.62,0.03,9.52,0.04,-0.66,0.127,,40.35787,5.98836
40.445125,-52.9978611,CD-53 544,02414683-5259523,4096,14,239,1,-1.02,0.01,1.62,0.03,9.2,0.02,,,,4049,14,244,1,-1.02,0.01,1.62,0.03,9.2,0.02,,,,40.44512,-52.99786
40.4470833,-52.9918333,GSC 8491-1194,02414730-5259306,3380,20,215,2,-1.95,0.02,1.78,0.03,10.26,0.02,,,,,,,,,,,,,,,,,40.44708,-52.99183
40.6375417,-57.6601944,GSC 8497-0995,02423301-5739367,4262,11,144,1,-0.86,0.01,1.56,0.03,10.12,0.02,,,,4202,10,147,1,-0.84,0.01,1.58,0.03,10.14,0.02,,,,40.63754,-57.66019
41.5609167,5.5925833,HIP 12925,02461462+0535333,6033,16,207,1,-0.05,0.01,0.97,0.04,7.83,0.01,,,,6013,17,207,1,-0.04,0.01,0.98,0.04,7.84,0.01,,,,41.56092,5.59258
49.1694167,-3.53025,HIP 15247,03164066-0331489,6049,23,250,1,-0.07,0.02,0.95,0.03,7.41,0.03,0.323,0.06,,6029,21,250,1,-0.06,0.02,0.97,0.03,7.42,0.03,0.318,0.06,,49.16942,-3.53025
54.2225417,-49.958,HIP 16853,03365341-4957288,5880,15,252,1,-0.11,0.02,1.02,0.03,7.51,0.02,0.17,0.064,,5850,16,251,1,-0.08,0.02,1.05,0.03,7.54,0.02,0.16,0.064,,54.22254,-49.958
57.095875,52.0378611,HIP 17782,03482301+5202163,5234,14,203,1,-0.26,0.02,1.27,0.02,8.49,0.02,-0.067,0.168,,5211,12,203,1,-0.24,0.02,1.29,0.02,8.51,0.02,-0.075,0.168,,57.09587,52.03786
60.13325,-41.7484444,HD 25402,04003198-4144544,5872,16,179,1,-0.1,0.02,1.06,0.02,8.26,0.02,-0.031,0.07,,5841,17,179,1,-0.07,0.02,1.09,0.02,8.29,0.02,-0.042,0.07,,60.13325,-41.74844
69.4005417,-2.4735556,51 Eri,04373613-0228248,7275,24,471,2,0.01,0.02,0.48,0.04,5.23,0.02,0.749,0.023,,7251,25,472,1,0.02,0.02,0.5,0.04,5.24,0.02,0.744,0.024,,69.40054,-2.47356
69.4060833,-2.4911667,GJ 3305,04373746-0229282,3648,29,331,5,-1.54,0.01,1.7,0.02,8.99,0.01,,,,3696,38,317,7,-1.5,0.01,1.73,0.02,9.03,0.01,,,,69.40608,-2.49117
69.6830417,-27.0338333,HIP 21632,04384393-2702018,5774,18,178,1,-0.12,0.02,1.07,0.03,8.35,0.02,0.063,0.101,,5743,16,178,1,-0.1,0.02,1.1,0.03,8.37,0.02,0.052,0.101,,69.68304,-27.03383
70.8216667,-23.6283056,HIP 21965,04431720-2337419,6544,19,247,1,-0.03,0.02,0.8,0.02,7.09,0.02,0.673,0.125,,6520,22,247,1,-0.02,0.02,0.81,0.03,7.1,0.02,0.668,0.125,,70.82167,-23.62831
70.9869167,37.38425,V962 Per,04435686+3723033,3468,28,117,1,-1.85,0.1,1.75,0.04,11.46,0.05,,,,,,,,,,,,,,,,,70.98692,37.38425
72.0215833,-80.7792222,HIP 22295,04480518-8046452,6181,19,174,1,-0.04,0.02,0.93,0.03,8.1,0.02,0.233,0.063,,6155,19,174,1,-0.02,0.02,0.95,0.03,8.12,0.02,0.227,0.063,,72.02158,-80.77922
74.895125,1.7835278,V1005 Ori,04593483+0147007,3866,18,324,3,-1.27,0.03,1.67,0.03,8.78,0.03,-0.785,0.132,,3843,23,327,3,-1.26,0.02,1.68,0.02,8.79,0.03,-0.79,0.132,,74.89512,1.78353
75.1964167,-57.2570833,HIP 23309,05004714-5715255,3884,17,322,2,-1.24,0.02,1.68,0.02,8.78,0.02,-0.753,0.061,,3867,22,326,3,-1.25,0.02,1.68,0.02,8.77,0.02,-0.752,0.061,,75.19642,-57.25708
75.4950417,9.9829722,HIP 23418,05015881+0958587,3211,15,392,3,-2.27,0.02,1.97,0.03,9.18,0.02,-0.727,0.635,,,,,,,,,,,,,,,75.49504,9.98297
80.1584583,-39.7549722,HIP 24947,05203803-3945179,6232,17,243,1,-0.05,0.02,0.92,0.03,7.34,0.02,0.336,0.041,,6205,17,243,1,-0.04,0.02,0.94,0.03,7.35,0.02,0.329,0.041,,80.15846,-39.75497
81.769875,-11.9009167,HIP 25486,05270477-1154033,6062,18,427,1,-0.07,0.02,0.97,0.03,6.23,0.02,0.273,0.028,,6042,18,427,1,-0.05,0.02,0.98,0.03,6.25,0.02,0.267,0.028,,81.76987,-11.90092
84.2720833,-39.5406944,TYC 7600-0516-1,05370530-3932265,5020,14,160,1,-0.34,0.02,1.27,0.02,9.18,0.02,,,,4984,12,161,1,-0.32,0.02,1.29,0.02,9.2,0.02,,,,84.27208,-39.54069
85.642625,-34.2617222,TYC 7065-0879-1,05423423-3415422,5180,16,89,1,-0.25,0.02,1.09,0.04,10.32,0.03,,,,5143,17,89,1,-0.22,0.02,1.11,0.04,10.34,0.03,,,,85.64262,-34.26172
88.92975,-38.1045,HIP 28036,05554314-3806162,6246,17,234,1,-0.05,0.02,0.91,0.02,7.41,0.02,0.411,0.049,,6220,18,235,1,-0.04,0.02,0.93,0.03,7.42,0.02,0.405,0.049,,88.92975,-38.1045
92.220125,-27.8995278,2MASS J06085283-2753583,06085283-2753583,2118,20,46,1,,,2.04,0.05,15.64,0.06,,,,,,,,,,,,,,,,,92.22012,-27.89953
94.6176667,-72.0448889,HIP 29964,06182824-7202416,4260,9,232,1,-0.86,0.02,1.56,0.02,9.09,0.02,-0.561,0.07,,4204,11,235,1,-0.83,0.02,1.59,0.02,9.12,0.02,-0.572,0.07,,94.61767,-72.04489
94.7835417,-3.4389722,HIP 30030,06190805-0326203,5951,16,208,1,-0.08,0.02,1.03,0.03,7.87,0.02,0.138,0.08,,5926,17,208,1,-0.06,0.02,1.04,0.03,7.89,0.02,0.131,0.081,,94.78354,-3.43897
94.8037917,-58.0543333,HIP 30034,06191291-5803156,5024,13,189,1,-0.31,0.02,1.25,0.03,8.82,0.02,-0.3,0.064,,4982,12,189,1,-0.28,0.02,1.28,0.03,8.85,0.02,-0.312,0.064,,94.80379,-58.05433
100.9427083,-71.9765556,HIP 32235,06434625-7158356,5661,17,149,1,-0.12,0.02,1.13,0.03,8.82,0.02,-0.096,0.085,,5631,16,149,1,-0.1,0.02,1.15,0.03,8.84,0.02,-0.105,0.085,,100.94271,-71.97656
101.5561667,-83.9915,HIP 32435,06461348-8359294,6427,17,219,1,-0.04,0.02,0.87,0.03,7.43,0.02,0.429,0.042,,6399,19,220,1,-0.02,0.02,0.89,0.03,7.44,0.02,0.424,0.042,,101.55617,-83.9915
105.1269167,-79.6960833,HIP 33737,07003046-7941459,4781,12,141,1,-0.43,0.02,1.41,0.03,9.68,0.02,-0.429,0.105,,4725,13,142,1,-0.41,0.02,1.44,0.03,9.7,0.02,-0.44,0.105,,105.12692,-79.69608
129.0446667,-79.1384167,RECX 18,08361072-7908183,2764,8,61,1,-3.79,0.02,2.02,0.03,13.87,0.03,-1.704,0.011,,,,,,,,,,,,,,,129.04467,-79.13842
129.2342917,-78.9459444,RECX 1,08365623-7856454,4125,20,189,1,-0.93,0.03,1.52,0.03,9.68,0.03,-0.028,0.013,,4094,17,190,1,-0.92,0.03,1.54,0.02,9.69,0.03,-0.034,0.012,,129.23429,-78.94594
129.7145833,-79.2704444,RECX 17,08385150-7916136,2829,8,75,1,-3.51,0.02,2.04,0.03,13.31,0.03,-1.482,0.012,,,,,,,,,,,,,,,129.71458,-79.27044
130.37625,-78.8851111,RECX 14,08413030-7853064,2880,10,58,1,-3.27,0.03,1.99,0.03,13.8,0.03,-1.678,0.012,,,,,,,,,,,,,,,130.37625,-78.88511
130.4042917,-79.0584444,RECX 3,08413703-7903304,3286,23,94,1,-2.18,0.03,1.84,0.03,12.19,0.03,-1.032,0.012,,,,,,,,,,,,,,,130.40429,-79.05844
130.5988333,-79.0675,RECX 4,08422372-7904030,3670,25,117,1,-1.5,0.03,1.69,0.03,11.23,0.03,-0.649,0.012,,3687,32,116,2,-1.51,0.02,1.68,0.03,11.22,0.03,-0.644,0.012,,130.59883,-79.0675
130.6129167,-78.9633056,RECX 5,08422710-7857479,3090,16,87,1,-2.58,0.03,1.85,0.03,12.62,0.03,-1.206,0.012,,,,,,,,,,,,,,,130.61292,-78.96331
130.661625,-78.9118611,RECX 6,08423879-7854427,3370,23,94,1,-2.01,0.03,1.84,0.03,12.07,0.03,-0.985,0.012,,,,,,,,,,,,,,,130.66162,-78.91186
130.780125,-79.0812222,RECX 7,08430723-7904524,4215,20,159,1,-0.88,0.03,1.54,0.03,9.96,0.04,-0.141,0.013,,4174,20,160,1,-0.85,0.03,1.57,0.03,9.99,0.04,-0.153,0.013,,130.78012,-79.08122
131.0682083,-78.9855556,RECX 9,08441637-7859080,3006,13,114,1,-2.85,0.03,1.9,0.03,12.16,0.03,-1.019,0.012,,,,,,,,,,,,,,,131.06821,-78.98556
