Teff,logg,U-B,B-V,V-Ic,Rc-Ic,J-H,H-Ks,V-Ks,Ks-W1,Ks-W2,Ks-W3,Ks-W4,V-Vt,Bt-Vt,V-Hp,Model
8200,5.0,-0.071,0.223,0.197,0.068,0.05,0.017,0.332,0.011,0.005,-0.005,-0.044,-0.024,0.259,-0.022,BT-Settl
8400,3.0,0.16,0.034,0.061,0.008,0.029,0.023,0.178,0.035,0.044,0.052,0.021,0.004,0.073,0.04,BT-Settl
8400,3.5,0.131,0.092,0.081,0.012,0.023,0.024,0.192,0.027,0.031,0.035,-0.001,-0.005,0.131,0.019,BT-Settl
8400,4.0,0.095,0.125,0.103,0.022,0.025,0.024,0.214,0.024,0.026,0.025,-0.012,-0.01,0.167,0.007,BT-Settl
8400,4.5,0.012,0.171,0.134,0.035,0.028,0.022,0.241,0.017,0.015,0.011,-0.028,-0.016,0.21,-0.007,BT-Settl
8400,5.0,-0.064,0.2,0.16,0.05,0.034,0.018,0.263,0.012,0.007,-0.002,-0.041,-0.022,0.236,-0.017,BT-Settl
8600,3.0,0.125,0.008,0.039,-0.003,0.022,0.021,0.132,0.035,0.044,0.053,0.021,0.008,0.045,0.05,BT-Settl
8600,3.5,0.106,0.062,0.058,0.002,0.017,0.023,0.148,0.029,0.035,0.038,0.002,-0.001,0.1,0.029,BT-Settl
8600,4.0,0.108,0.083,0.065,0.006,0.017,0.024,0.157,0.025,0.028,0.028,-0.01,-0.005,0.126,0.022,BT-Settl
8600,4.5,0.018,0.143,0.101,0.021,0.018,0.023,0.186,0.02,0.02,0.017,-0.022,-0.014,0.182,0.001,BT-Settl
8600,5.0,-0.066,0.179,0.132,0.036,0.022,0.02,0.212,0.015,0.012,0.006,-0.035,-0.019,0.215,-0.011,BT-Settl
8800,3.0,0.077,-0.012,0.024,-0.009,0.019,0.019,0.097,0.036,0.045,0.055,0.023,0.01,0.02,0.057,BT-Settl
8800,3.5,0.098,0.023,0.029,-0.01,0.013,0.02,0.099,0.029,0.035,0.038,0.002,0.004,0.06,0.043,BT-Settl
8800,4.0,0.088,0.057,0.04,-0.005,0.011,0.023,0.11,0.026,0.03,0.031,-0.007,-0.001,0.098,0.03,BT-Settl
8800,4.5,0.025,0.109,0.068,0.006,0.01,0.022,0.131,0.02,0.022,0.019,-0.021,-0.01,0.148,0.012,BT-Settl
8800,5.0,-0.063,0.157,0.101,0.021,0.012,0.019,0.156,0.017,0.016,0.01,-0.031,-0.016,0.194,-0.004,BT-Settl
9000,3.0,0.042,-0.029,0.01,-0.016,0.015,0.016,0.061,0.034,0.043,0.051,0.019,0.012,0.001,0.064,BT-Settl
9000,3.5,0.072,0.0,0.01,-0.018,0.008,0.019,0.061,0.028,0.034,0.037,0.0,0.007,0.035,0.051,BT-Settl
9000,4.0,0.067,0.036,0.02,-0.015,0.005,0.021,0.069,0.026,0.03,0.03,-0.01,0.001,0.075,0.038,BT-Settl
9000,4.5,0.035,0.077,0.036,-0.008,0.004,0.021,0.08,0.022,0.024,0.021,-0.021,-0.005,0.118,0.023,BT-Settl
9000,5.0,-0.051,0.133,0.068,0.006,0.004,0.019,0.104,0.018,0.018,0.012,-0.03,-0.014,0.17,0.003,BT-Settl
9200,3.0,0.049,-0.035,-0.006,-0.026,0.01,0.013,0.033,0.03,0.038,0.051,0.029,0.014,-0.004,0.066,BT-Settl
9200,3.5,0.057,-0.015,-0.009,-0.029,0.001,0.015,0.018,0.023,0.026,0.024,-0.015,0.009,0.02,0.057,BT-Settl
9200,4.0,0.059,0.021,-0.002,-0.027,-0.003,0.018,0.024,0.02,0.021,0.016,-0.026,0.003,0.059,0.043,BT-Settl
9200,4.5,0.035,0.06,0.01,-0.022,-0.005,0.019,0.032,0.017,0.015,0.007,-0.037,-0.003,0.101,0.028,BT-Settl
9200,5.0,-0.047,0.114,0.045,-0.006,-0.003,0.017,0.061,0.014,0.011,0.001,-0.044,-0.011,0.152,0.009,BT-Settl
9400,3.0,-0.01,-0.052,-0.022,-0.035,0.003,0.008,-0.018,0.026,0.03,0.032,-0.004,0.016,-0.026,0.072,BT-Settl
9400,3.5,0.026,-0.03,-0.022,-0.036,-0.002,0.012,-0.013,0.022,0.024,0.022,-0.018,0.011,0.002,0.063,BT-Settl
9400,4.0,0.035,0.003,-0.017,-0.035,-0.007,0.015,-0.009,0.02,0.02,0.015,-0.028,0.006,0.04,0.05,BT-Settl
9400,4.5,0.021,0.042,-0.008,-0.031,-0.01,0.017,-0.003,0.016,0.015,0.007,-0.039,0.0,0.082,0.035,BT-Settl
9400,5.0,-0.033,0.088,0.015,-0.02,-0.009,0.016,0.014,0.014,0.011,0.0,-0.046,-0.008,0.127,0.018,BT-Settl
9600,3.0,-0.045,-0.063,-0.03,-0.04,0.0,0.005,-0.045,0.023,0.026,0.026,-0.011,0.018,-0.038,0.078,BT-Settl
9600,3.5,-0.006,-0.042,-0.032,-0.041,-0.007,0.01,-0.042,0.02,0.021,0.016,-0.025,0.013,-0.012,0.068,BT-Settl
9600,4.0,0.012,-0.012,-0.031,-0.042,-0.011,0.013,-0.04,0.018,0.018,0.01,-0.034,0.008,0.024,0.055,BT-Settl
9600,4.5,0.003,0.026,-0.023,-0.038,-0.014,0.015,-0.036,0.015,0.013,0.003,-0.045,0.002,0.065,0.04,BT-Settl
9600,5.0,-0.03,0.068,-0.011,-0.033,-0.015,0.015,-0.028,0.012,0.009,-0.003,-0.051,-0.005,0.108,0.025,BT-Settl
9800,3.0,-0.082,-0.071,-0.038,-0.044,-0.004,0.003,-0.071,0.02,0.022,0.019,-0.019,0.019,-0.048,0.081,BT-Settl
9800,3.5,-0.037,-0.053,-0.042,-0.046,-0.01,0.007,-0.069,0.019,0.019,0.012,-0.031,0.015,-0.024,0.072,BT-Settl
9800,4.0,-0.014,-0.025,-0.042,-0.048,-0.015,0.011,-0.068,0.016,0.015,0.005,-0.041,0.01,0.009,0.06,BT-Settl
9800,4.5,-0.014,0.011,-0.037,-0.046,-0.018,0.013,-0.065,0.013,0.011,-0.002,-0.051,0.004,0.05,0.046,BT-Settl
9800,5.0,-0.043,0.054,-0.027,-0.041,-0.019,0.013,-0.06,0.012,0.008,-0.006,-0.056,-0.004,0.093,0.029,BT-Settl
10000,3.0,-0.115,-0.077,-0.045,-0.049,-0.008,-0.002,-0.099,0.012,0.007,-0.009,-0.05,0.019,-0.057,0.084,BT-Settl
10000,3.5,-0.068,-0.061,-0.049,-0.051,-0.014,0.003,-0.095,0.012,0.006,-0.012,-0.056,0.016,-0.034,0.076,BT-Settl
10000,4.0,-0.038,-0.035,-0.051,-0.053,-0.019,0.007,-0.096,0.009,0.002,-0.019,-0.066,0.011,-0.002,0.064,BT-Settl
10000,4.5,-0.036,0.0,-0.047,-0.051,-0.022,0.01,-0.093,0.007,-0.001,-0.025,-0.075,0.005,0.037,0.05,BT-Settl
10000,5.0,-0.06,0.042,-0.038,-0.046,-0.023,0.011,-0.088,0.006,-0.003,-0.028,-0.08,-0.002,0.081,0.034,BT-Settl
10200,3.0,-0.145,-0.086,-0.053,-0.054,-0.012,-0.005,-0.125,0.01,0.004,-0.014,-0.056,0.021,-0.067,0.088,BT-Settl
10200,3.5,-0.091,-0.071,-0.059,-0.056,-0.017,0.001,-0.121,0.009,0.001,-0.018,-0.063,0.017,-0.046,0.08,BT-Settl
10200,4.0,-0.058,-0.047,-0.063,-0.059,-0.023,0.006,-0.123,0.006,-0.002,-0.024,-0.071,0.013,-0.016,0.069,BT-Settl
10200,4.5,-0.048,-0.014,-0.06,-0.059,-0.026,0.008,-0.121,0.005,-0.005,-0.029,-0.08,0.008,0.023,0.055,BT-Settl
10400,3.0,-0.174,-0.093,-0.061,-0.058,-0.015,-0.007,-0.148,0.007,0.0,-0.02,-0.062,0.022,-0.076,0.091,BT-Settl
10400,3.5,-0.121,-0.079,-0.065,-0.06,-0.02,-0.002,-0.143,0.007,-0.001,-0.022,-0.067,0.019,-0.055,0.084,BT-Settl
10400,4.0,-0.078,-0.059,-0.074,-0.066,-0.026,0.003,-0.149,0.004,-0.005,-0.028,-0.075,0.015,-0.028,0.074,BT-Settl
10400,4.5,-0.07,-0.025,-0.071,-0.064,-0.03,0.006,-0.147,0.003,-0.007,-0.032,-0.083,0.009,0.01,0.059,BT-Settl
10600,3.0,-0.23,-0.092,-0.055,-0.055,-0.012,-0.006,-0.148,0.015,0.014,0.013,-0.021,0.021,-0.078,0.092,BT-Settl
10600,3.5,-0.177,-0.081,-0.061,-0.058,-0.017,-0.002,-0.147,0.013,0.011,0.006,-0.033,0.019,-0.06,0.086,BT-Settl
10600,4.0,-0.146,-0.062,-0.065,-0.06,-0.022,0.001,-0.149,0.012,0.01,0.002,-0.04,0.015,-0.036,0.077,BT-Settl
10600,4.5,-0.128,-0.037,-0.068,-0.063,-0.027,0.004,-0.153,0.01,0.007,-0.004,-0.05,0.012,-0.005,0.066,BT-Settl
10800,3.0,-0.254,-0.099,-0.062,-0.059,-0.015,-0.008,-0.169,0.013,0.011,0.009,-0.026,0.023,-0.084,0.095,BT-Settl
10800,3.5,-0.199,-0.089,-0.07,-0.063,-0.021,-0.004,-0.17,0.01,0.007,0.0,-0.04,0.02,-0.069,0.089,BT-Settl
10800,4.0,-0.166,-0.072,-0.073,-0.065,-0.025,-0.001,-0.171,0.01,0.007,-0.002,-0.045,0.018,-0.046,0.081,BT-Settl
10800,4.5,-0.145,-0.047,-0.078,-0.068,-0.03,0.001,-0.178,0.008,0.003,-0.009,-0.056,0.013,-0.016,0.07,BT-Settl
11000,3.0,-0.281,-0.105,-0.067,-0.062,-0.018,-0.01,-0.188,0.011,0.008,0.005,-0.03,0.024,-0.092,0.099,BT-Settl
11000,3.5,-0.222,-0.095,-0.076,-0.066,-0.023,-0.007,-0.19,0.009,0.005,-0.003,-0.043,0.021,-0.076,0.092,BT-Settl
11000,4.0,-0.186,-0.08,-0.083,-0.071,-0.028,-0.003,-0.194,0.008,0.004,-0.006,-0.049,0.018,-0.055,0.084,BT-Settl
11000,4.5,-0.163,-0.057,-0.086,-0.072,-0.032,0.0,-0.198,0.006,0.001,-0.013,-0.06,0.014,-0.027,0.074,BT-Settl
11200,3.0,-0.304,-0.111,-0.075,-0.067,-0.021,-0.012,-0.21,0.009,0.005,0.0,-0.036,0.025,-0.099,0.101,BT-Settl
11200,3.5,-0.246,-0.101,-0.082,-0.07,-0.026,-0.009,-0.21,0.007,0.002,-0.008,-0.049,0.023,-0.083,0.095,BT-Settl
11200,4.0,-0.206,-0.088,-0.09,-0.075,-0.03,-0.006,-0.215,0.007,0.002,-0.01,-0.054,0.02,-0.064,0.088,BT-Settl
11200,4.5,-0.185,-0.064,-0.094,-0.077,-0.035,-0.002,-0.219,0.004,-0.003,-0.018,-0.066,0.015,-0.036,0.077,BT-Settl
11400,3.0,-0.347,-0.11,-0.069,-0.064,-0.021,-0.012,-0.212,0.008,0.002,-0.01,-0.052,0.025,-0.099,0.102,BT-Settl
11400,3.5,-0.264,-0.108,-0.089,-0.074,-0.028,-0.011,-0.229,0.005,0.0,-0.011,-0.052,0.024,-0.09,0.098,BT-Settl
11400,4.0,-0.225,-0.095,-0.097,-0.078,-0.033,-0.008,-0.235,0.005,-0.001,-0.014,-0.058,0.021,-0.072,0.091,BT-Settl
11400,4.5,-0.2,-0.074,-0.102,-0.082,-0.037,-0.005,-0.239,0.003,-0.004,-0.02,-0.069,0.018,-0.045,0.081,BT-Settl
11600,3.0,-0.368,-0.114,-0.076,-0.068,-0.024,-0.014,-0.231,0.006,0.0,-0.014,-0.057,0.025,-0.106,0.104,BT-Settl
11600,3.5,-0.313,-0.106,-0.084,-0.072,-0.028,-0.013,-0.235,0.004,-0.004,-0.022,-0.068,0.023,-0.092,0.098,BT-Settl
11600,4.0,-0.282,-0.093,-0.088,-0.074,-0.032,-0.009,-0.235,0.003,-0.005,-0.025,-0.074,0.021,-0.073,0.092,BT-Settl
11600,4.5,-0.257,-0.075,-0.095,-0.078,-0.037,-0.007,-0.245,0.001,-0.008,-0.032,-0.085,0.017,-0.051,0.083,BT-Settl
11800,3.0,-0.387,-0.12,-0.082,-0.072,-0.026,-0.016,-0.248,0.004,-0.003,-0.018,-0.061,0.026,-0.112,0.106,BT-Settl
11800,3.5,-0.333,-0.112,-0.089,-0.075,-0.03,-0.014,-0.25,0.002,-0.006,-0.025,-0.072,0.024,-0.098,0.101,BT-Settl
11800,4.0,-0.299,-0.1,-0.095,-0.078,-0.033,-0.012,-0.254,0.002,-0.007,-0.028,-0.078,0.022,-0.08,0.094,BT-Settl
11800,4.5,-0.277,-0.082,-0.1,-0.081,-0.038,-0.01,-0.261,0.0,-0.01,-0.035,-0.089,0.019,-0.057,0.086,BT-Settl
12000,3.0,-0.406,-0.125,-0.088,-0.075,-0.028,-0.018,-0.265,0.003,-0.004,-0.02,-0.064,0.027,-0.117,0.109,BT-Settl
12000,3.5,-0.353,-0.116,-0.096,-0.079,-0.033,-0.016,-0.269,0.001,-0.009,-0.029,-0.076,0.025,-0.103,0.103,BT-Settl
12000,4.0,-0.317,-0.106,-0.101,-0.082,-0.036,-0.013,-0.271,0.0,-0.01,-0.033,-0.083,0.023,-0.087,0.098,BT-Settl
12000,4.5,-0.294,-0.089,-0.107,-0.085,-0.041,-0.011,-0.279,-0.002,-0.014,-0.04,-0.094,0.02,-0.065,0.089,BT-Settl
12500,3.0,-0.462,-0.131,-0.093,-0.078,-0.031,-0.021,-0.291,0.001,-0.009,-0.029,-0.076,0.028,-0.126,0.112,BT-Settl
12500,3.5,-0.418,-0.123,-0.098,-0.08,-0.035,-0.019,-0.293,-0.002,-0.013,-0.037,-0.087,0.026,-0.113,0.107,BT-Settl
12500,4.0,-0.388,-0.113,-0.102,-0.082,-0.038,-0.017,-0.296,-0.002,-0.014,-0.041,-0.095,0.024,-0.098,0.102,BT-Settl
12500,4.5,-0.367,-0.098,-0.109,-0.086,-0.042,-0.015,-0.304,-0.005,-0.018,-0.049,-0.106,0.021,-0.079,0.095,BT-Settl
13000,3.0,-0.5,-0.143,-0.107,-0.086,-0.036,-0.024,-0.328,-0.003,-0.015,-0.038,-0.085,0.029,-0.139,0.118,BT-Settl
13000,3.5,-0.457,-0.134,-0.111,-0.088,-0.04,-0.023,-0.331,-0.006,-0.019,-0.046,-0.096,0.028,-0.125,0.113,BT-Settl
13000,4.0,-0.423,-0.126,-0.118,-0.091,-0.043,-0.021,-0.335,-0.006,-0.02,-0.05,-0.104,0.026,-0.112,0.107,BT-Settl
13000,4.5,-0.404,-0.111,-0.123,-0.094,-0.048,-0.019,-0.343,-0.009,-0.024,-0.058,-0.116,0.023,-0.093,0.1,BT-Settl
13500,3.0,-0.54,-0.149,-0.115,-0.09,-0.038,-0.026,-0.352,-0.005,-0.017,-0.04,-0.087,0.03,-0.148,0.121,BT-Settl
13500,3.5,-0.504,-0.141,-0.116,-0.09,-0.041,-0.025,-0.352,-0.007,-0.021,-0.048,-0.097,0.029,-0.135,0.116,BT-Settl
13500,4.0,-0.475,-0.133,-0.121,-0.093,-0.044,-0.024,-0.356,-0.007,-0.022,-0.051,-0.103,0.027,-0.122,0.112,BT-Settl
13500,4.5,-0.457,-0.12,-0.127,-0.096,-0.047,-0.023,-0.364,-0.01,-0.025,-0.059,-0.115,0.025,-0.105,0.105,BT-Settl
14000,3.0,-0.571,-0.159,-0.127,-0.096,-0.042,-0.03,-0.385,-0.008,-0.022,-0.047,-0.094,0.031,-0.159,0.125,BT-Settl
14000,3.5,-0.537,-0.15,-0.128,-0.097,-0.046,-0.029,-0.385,-0.011,-0.026,-0.056,-0.106,0.03,-0.145,0.12,BT-Settl
14000,4.0,-0.503,-0.144,-0.134,-0.1,-0.049,-0.027,-0.389,-0.011,-0.027,-0.058,-0.111,0.029,-0.134,0.117,BT-Settl
14000,4.5,-0.489,-0.131,-0.139,-0.103,-0.052,-0.026,-0.397,-0.014,-0.031,-0.067,-0.124,0.026,-0.117,0.11,BT-Settl
14500,3.0,-0.602,-0.166,-0.137,-0.102,-0.046,-0.031,-0.41,-0.009,-0.023,-0.046,-0.088,0.032,-0.168,0.129,BT-Settl
14500,3.5,-0.569,-0.158,-0.136,-0.101,-0.048,-0.03,-0.407,-0.011,-0.027,-0.055,-0.101,0.031,-0.155,0.124,BT-Settl
14500,4.0,-0.54,-0.151,-0.14,-0.103,-0.05,-0.03,-0.411,-0.011,-0.027,-0.056,-0.103,0.03,-0.143,0.12,BT-Settl
14500,4.5,-0.523,-0.14,-0.146,-0.107,-0.053,-0.029,-0.419,-0.014,-0.031,-0.063,-0.113,0.028,-0.128,0.115,BT-Settl
15000,3.0,-0.63,-0.175,-0.147,-0.107,-0.049,-0.035,-0.439,-0.012,-0.027,-0.051,-0.093,0.034,-0.177,0.133,BT-Settl
15000,3.5,-0.6,-0.165,-0.145,-0.106,-0.051,-0.034,-0.435,-0.015,-0.032,-0.062,-0.11,0.032,-0.163,0.128,BT-Settl
15000,4.0,-0.564,-0.161,-0.152,-0.11,-0.054,-0.032,-0.439,-0.015,-0.032,-0.063,-0.111,0.031,-0.154,0.125,BT-Settl
15000,4.5,-0.553,-0.149,-0.155,-0.112,-0.057,-0.032,-0.447,-0.017,-0.036,-0.071,-0.122,0.03,-0.138,0.119,BT-Settl
15500,3.0,-0.655,-0.183,-0.158,-0.114,-0.053,-0.038,-0.467,-0.014,-0.029,-0.052,-0.089,0.035,-0.186,0.137,BT-Settl
15500,3.5,-0.623,-0.174,-0.155,-0.112,-0.055,-0.036,-0.46,-0.015,-0.032,-0.061,-0.104,0.034,-0.173,0.132,BT-Settl
15500,4.0,-0.59,-0.169,-0.16,-0.114,-0.057,-0.034,-0.463,-0.016,-0.033,-0.061,-0.101,0.033,-0.163,0.129,BT-Settl
15500,4.5,-0.573,-0.159,-0.166,-0.117,-0.06,-0.033,-0.471,-0.018,-0.037,-0.067,-0.104,0.031,-0.148,0.123,BT-Settl
16000,3.0,-0.682,-0.19,-0.167,-0.119,-0.057,-0.04,-0.492,-0.016,-0.033,-0.057,-0.094,0.037,-0.194,0.141,BT-Settl
16000,3.5,-0.651,-0.18,-0.163,-0.117,-0.058,-0.039,-0.484,-0.018,-0.036,-0.067,-0.112,0.035,-0.18,0.135,BT-Settl
16000,4.0,-0.612,-0.178,-0.17,-0.12,-0.06,-0.037,-0.489,-0.018,-0.036,-0.066,-0.106,0.034,-0.173,0.133,BT-Settl
16000,4.5,-0.603,-0.166,-0.173,-0.121,-0.063,-0.037,-0.496,-0.02,-0.04,-0.074,-0.114,0.032,-0.158,0.127,BT-Settl
16500,3.0,-0.704,-0.198,-0.178,-0.125,-0.062,-0.044,-0.523,-0.02,-0.038,-0.062,-0.095,0.038,-0.203,0.145,BT-Settl
16500,3.5,-0.669,-0.189,-0.175,-0.123,-0.062,-0.041,-0.512,-0.02,-0.039,-0.067,-0.103,0.036,-0.19,0.14,BT-Settl
16500,4.0,-0.633,-0.185,-0.182,-0.127,-0.064,-0.04,-0.517,-0.02,-0.038,-0.063,-0.089,0.035,-0.181,0.136,BT-Settl
16500,4.5,-0.615,-0.176,-0.187,-0.13,-0.067,-0.039,-0.524,-0.021,-0.04,-0.064,-0.077,0.034,-0.167,0.131,BT-Settl
17000,3.0,-0.729,-0.203,-0.188,-0.131,-0.065,-0.046,-0.547,-0.022,-0.042,-0.067,-0.101,0.038,-0.21,0.147,BT-Settl
17000,3.5,-0.696,-0.194,-0.182,-0.127,-0.064,-0.044,-0.533,-0.022,-0.043,-0.073,-0.112,0.037,-0.196,0.142,BT-Settl
17000,4.0,-0.654,-0.193,-0.191,-0.132,-0.067,-0.042,-0.54,-0.022,-0.042,-0.068,-0.095,0.036,-0.189,0.14,BT-Settl
17000,4.5,-0.644,-0.183,-0.193,-0.133,-0.069,-0.042,-0.545,-0.024,-0.044,-0.071,-0.088,0.035,-0.175,0.135,BT-Settl
17500,3.0,-0.75,-0.21,-0.198,-0.136,-0.069,-0.05,-0.576,-0.026,-0.046,-0.07,-0.097,0.04,-0.217,0.15,BT-Settl
17500,3.5,-0.71,-0.204,-0.194,-0.134,-0.069,-0.046,-0.561,-0.024,-0.044,-0.069,-0.091,0.039,-0.205,0.147,BT-Settl
17500,4.0,-0.671,-0.2,-0.202,-0.138,-0.071,-0.044,-0.566,-0.023,-0.042,-0.058,-0.059,0.037,-0.198,0.143,BT-Settl
17500,4.5,-0.652,-0.191,-0.207,-0.14,-0.074,-0.043,-0.573,-0.024,-0.042,-0.05,-0.026,0.035,-0.185,0.138,BT-Settl
18000,3.0,-0.774,-0.215,-0.205,-0.14,-0.073,-0.052,-0.597,-0.028,-0.049,-0.075,-0.102,0.041,-0.223,0.154,BT-Settl
18000,3.5,-0.737,-0.208,-0.199,-0.137,-0.071,-0.048,-0.579,-0.027,-0.048,-0.075,-0.1,0.04,-0.211,0.149,BT-Settl
18000,4.0,-0.692,-0.207,-0.209,-0.142,-0.074,-0.047,-0.587,-0.025,-0.045,-0.063,-0.064,0.039,-0.205,0.147,BT-Settl
18000,4.5,-0.68,-0.198,-0.211,-0.143,-0.076,-0.046,-0.591,-0.026,-0.046,-0.058,-0.036,0.037,-0.192,0.142,BT-Settl
18500,3.0,-0.819,-0.221,-0.217,-0.147,-0.078,-0.058,-0.637,-0.032,-0.056,-0.082,-0.1,0.042,-0.231,0.157,BT-Settl
18500,3.5,-0.751,-0.215,-0.21,-0.143,-0.075,-0.051,-0.606,-0.029,-0.05,-0.066,-0.064,0.04,-0.219,0.152,BT-Settl
18500,4.0,-0.71,-0.213,-0.218,-0.147,-0.078,-0.049,-0.61,-0.026,-0.044,-0.043,-0.001,0.04,-0.211,0.15,BT-Settl
18500,4.5,-0.688,-0.205,-0.224,-0.15,-0.08,-0.047,-0.616,-0.025,-0.041,-0.021,0.061,0.038,-0.199,0.145,BT-Settl
19000,3.0,-0.841,-0.224,-0.223,-0.151,-0.081,-0.059,-0.654,-0.035,-0.06,-0.087,-0.107,0.043,-0.235,0.159,BT-Settl
19000,3.5,-0.777,-0.219,-0.215,-0.146,-0.077,-0.054,-0.623,-0.03,-0.053,-0.072,-0.072,0.041,-0.224,0.155,BT-Settl
19000,4.0,-0.73,-0.219,-0.225,-0.151,-0.08,-0.052,-0.63,-0.028,-0.047,-0.048,-0.008,0.041,-0.218,0.153,BT-Settl
19000,4.5,-0.717,-0.21,-0.228,-0.153,-0.082,-0.05,-0.634,-0.027,-0.044,-0.027,0.052,0.039,-0.206,0.148,BT-Settl
19500,3.0,-0.861,-0.228,-0.232,-0.156,-0.088,-0.065,-0.687,-0.04,-0.063,-0.053,0.017,0.043,-0.24,0.16,BT-Settl
19500,3.5,-0.787,-0.226,-0.227,-0.153,-0.083,-0.056,-0.652,-0.027,-0.039,0.017,0.134,0.042,-0.231,0.158,BT-Settl
19500,4.0,-0.744,-0.224,-0.234,-0.156,-0.083,-0.051,-0.65,-0.018,-0.018,0.092,0.24,0.042,-0.224,0.155,BT-Settl
